code,ccg_id
F83642,
H85689,
Y00745,
Y01745,
B82090,
Y02380,
C86036,
Y02063,
N82021,
P81752,
E82125,
P92604,
Y01270,
C85626,
M85789,
F85690,
C87618,
L83667,
C86040,
M85790,
J82657,
M83666,
C86619,
F85685,
E82662,
Y00034,
Y00569,
E83648,
C86608,
P92622,
G85111,
K81672,
J83617,
N82660,
K81660,
D81088,
B81083,
F81154,
F81143,
A88612,
C85621,
G82714,
M91661,
C81112,
A86001,
A89039,
Y00916,
M86618,
Y01272,
F86051,
C82612,
C84651,
C82668,
M87635,
N84637,
B81096,
B82618,
Y00368,
Y03237,
M83120,
H81671,
Y03177,
B83671,
F83036,
P81030,
Y00821,
G82736,
A82625,
F86075,
J81655,
A82630,
N85045,
M87035,
G82795,
K82626,
B82039,
Y03043,
05G999,
RCF999,
Y00404,
K82619,
P81168,
G85131,
Y00960,
Y02349,
A81620,
C82646,
A83640,
G84602,
Y02033,
B86644,
C82104,
A82622,
B83637,
Y00803,
Y02111,
00M999,
B82606,
P82653,
G83048,
P87612,
B81110,
A89619,
E82016,
C82635,
P88029,
B83003,
G84619,
Y03008,
C87602,
E81625,
H83628,
H82654,
C86628,
M91040,
Y01737,
Y01059,
Y02153,
Y02576,
M91027,
P91602,
C88089,
P81688,
Y01158,
G82745,
H84636,
F83026,
Y00353,
N81098,
P87021,
B82632,
Y02293,
G83674,
Y01644,
J82684,
M92023,
Y02267,
H83003,
P81669,
G81675,
A89609,
Y00402,
B81102,
P85619,
J83622,
L82606,
P83607,
G82010,
P81052,
F81039,
Y00041,
J82678,
Y00238,
Y01767,
G85729,
B82102,
G81653,
G82701,
M85665,
M83735,
F86714,
M85726,
G81650,
F86016,
Y02035,
Y00414,
M83002,
Y02329,
J81015,
B85608,
M92614,
Y03080,
H85692,
K83609,
F82688,
F81660,
L81662,
Y01899,
Y00145,
Y00935,
G85638,
A86032,
Y00928,
M87636,
P86625,
M83643,
P81751,
F86671,
F86659,
B85661,
P92611,
Y00406,
G82664,
A81071,
J82111,
G83621,
N82649,
G82659,
M92651,
Y01042,
H81648,
H82620,
G81681,
E87761,
N81613,
Y02290,
A82648,
B83677,
E86639,
F83675,
P86612,
P81782,
Y02593,
F83016,
Y01265,
Y02057,
B82647,
F82687,
E87708,
G81635,
Y00634,
M86637,
F83037,
Y00309,
M92648,
B83694,
F81058,
F81759,
Y02283,
F86027,
M85755,
P81775,
M85687,
B83687,
D83607,
B83654,
P89606,
Y00888,
E82029,
E82668,
H81652,
Y00870,
Y02966,
A82042,
M83664,
N82656,
J82057,
M85125,
Y00473,
K81653,
P87662,
Y00743,
F85709,
F86660,
C85021,
B83681,
G82222,
A82001,
Y01228,
Y00254,
Y00858,
P81183,
F81705,
Y01306,
Y02351,
E85644,
Y02356,
C88661,
G85734,
P83022,
F83644,
B86634,
P91010,
N83004,
Y00306,
H83026,
A81055,
P87034,
A82614,
L83650,
B81632,
D82061,
F84090,
Y00810,
G84012,
C88663,
B86628,
F86677,
Y00051,
C85025,
C84685,
Y02149,
Y01055,
M87004,
C82677,
M81619,
N82629,
F86721,
Y03147,
G82807,
A88018,
Y01927,
M91608,
Y02473,
E84686,
Y02649,
M86636,
G84615,
N82679,
F83038,
F82631,
A81061,
E85036,
E85072,
M83622,
B85045,
Y00027,
Y02877,
F86640,
A81010,
B81630,
B86040,
Y00520,
M83683,
Y02964,
E86616,
E83626,
F84715,
G85700,
G82803,
E87068,
L81639,
P81114,
Y01890,
G82043,
F83668,
Y03084,
Y01148,
B83692,
B83655,
P84058,
F82658,
M86047,
F86717,
M85628,
G85732,
Y03029,
C84655,
B83665,
K82052,
A84049,
P84674,
E85749,
A83633,
H84638,
G83632,
A85618,
C88637,
G82131,
Y02681,
D83068,
Y00633,
N81615,
P92625,
P87023,
C81671,
H84008,
P87006,
F82681,
F84622,
Y00557,
P82615,
K82063,
Y00170,
M85683,
J81088,
M81612,
A82649,
P91616,
M91038,
G85702,
E82618,
E85679,
A82624,
H85059,
J83639,
A82645,
Y02376,
M83620,
P81768,
E83628,
C88081,
Y02044,
K81648,
F86676,
E85654,
E83029,
M85734,
C88067,
Y01973,
A87608,
B82644,
P92650,
B82648,
E85671,
E81627,
C82675,
B83623,
Y00251,
Y01060,
E82631,
Y02140,
F86053,
F83684,
B82087,
Y00216,
Y00665,
Y02337,
M87610,
Y03196,
B85013,
P91022,
Y02120,
G82130,
Y01672,
H82626,
B86683,
Y01041,
N82088,
F81631,
C84697,
P84633,
E84050,
H85663,
F85649,
E81638,
M92624,
B81636,
Y01876,
J83620,
M87609,
N84629,
J82670,
M87611,
P91028,
M85692,
N82672,
Y00199,
P81702,
H81106,
Y02856,
D81644,
Y01933,
A88616,
A89633,
Y02841,
E83023,
Y01630,
D81083,
Y02855,
N83631,
B82624,
M85114,
C81093,
M83118,
P81767,
Y02109,
L82034,
B86676,
M88011,
P83003,
Y00655,
H85107,
Y00221,
A87010,
M85775,
Y00956,
H81666,
E82666,
F86728,
Y00239,
Y00284,
F86706,
Y01659,
P81716,
Y01975,
Y00642,
Y00831,
G83671,
M85130,
C84108,
G82816,
M92619,
P81682,
M85121,
F83659,
F83054,
P91614,
Y01053,
Y01653,
P91033,
F82035,
F86084,
G85650,
G85043,
C81646,
P82612,
N83044,
G85645,
Y00439,
Y00168,
B85043,
A83613,
B83630,
B83680,
F83634,
F86667,
Y01145,
M85168,
M92631,
Y00964,
M85811,
B82612,
H81662,
H83614,
A82652,
N82613,
RFR999,
03V999,
05R999,
Y01818,
Y00425,
C88012,
M88648,
Y02518,
E82671,
F84695,
P91036,
F81182,
D81067,
Y00245,
F84626,
H84628,
P81790,
H85089,
H81665,
B85049,
Y00118,
A82056,
K83034,
A81625,
N85628,
Y00117,
B81668,
E81066,
B85040,
M88605,
E85039,
F84112,
M82617,
C88080,
E81604,
F85693,
N82640,
F84748,
C82682,
J82686,
Y03286,
M83710,
Y01275,
P87663,
C81669,
J82683,
M91646,
P81759,
P87018,
Y00989,
E85691,
Y00875,
L83631,
C88094,
Y00359,
Y00564,
Y02073,
M85054,
Y02981,
P81777,
Y02078,
E81623,
F85074,
J81638,
A82609,
B81615,
B83616,
F81064,
M85691,
F81658,
P92649,
E83635,
M85102,
F86729,
J82680,
P87029,
P92644,
A89628,
G82178,
Y00358,
F85677,
Y01113,
Y00906,
B86652,
Y00261,
P92043,
C81644,
B84600,
G81673,
F86050,
J82675,
L82065,
A83621,
M83628,
Y00607,
B82614,
Y03199,
F81682,
Y01234,
B87043,
Y02799,
Y01159,
P82019,
G82190,
J83621,
Y00662,
A84004,
F85038,
Y02723,
Y01874,
Y02003,
B86630,
P83028,
P83604,
P89607,
M85769,
C85625,
C82679,
M92636,
E83634,
M83699,
H85654,
Y00946,
A89631,
G81701,
Y00709,
M87633,
Y01271,
P89608,
Y02334,
P91636,
Y02524,
Y01617,
Y01853,
Y03227,
Y01179,
Y01623,
Y02106,
Y01809,
M85119,
Y03338,
F82054,
C81626,
D81613,
Y00671,
N82652,
F84029,
Y00378,
Y01849,
C88628,
F82618,
F86723,
D82089,
Y00311,
C86615,
C81666,
Y00801,
Y02791,
L83672,
Y00153,
L83671,
Y00103,
D83066,
M85674,
B85617,
Y00303,
Y02904,
K83067,
G81700,
B84606,
E83636,
Y00450,
H81115,
M88614,
Y00015,
K82041,
Y01279,
G83657,
M84630,
E87678,
Y01702,
Y01972,
F84728,
M85160,
Y03100,
Y02678,
M92605,
M89025,
Y01109,
P84628,
Y02034,
Y01087,
F86089,
F84663,
M81624,
Y02789,
P81648,
D83077,
M91634,
Y00193,
Y00468,
Y01073,
E86023,
F86602,
P92618,
P85611,
M91657,
G82116,
P91034,
Y02257,
J83624,
H82081,
G82723,
M87033,
N81058,
Y00022,
Y00165,
B82620,
M91037,
Y00289,
Y02487,
M92628,
P86025,
P81665,
Y00255,
G83679,
Y00302,
Y01638,
P83013,
Y01149,
Y01738,
Y00817,
L82005,
P82631,
Y01837,
B86609,
F86663,
E84691,
Y01768,
P86607,
Y00616,
C84128,
A87018,
A82618,
B81618,
A87604,
F86651,
C88630,
Y03178,
J83631,
M92644,
N85644,
Y00606,
M83658,
J83607,
M87039,
Y01155,
E82664,
Y00104,
N83046,
Y00086,
J82665,
Y02668,
P82656,
Y02357,
Y02258,
K83608,
G85733,
F81220,
Y02803,
N84635,
P83016,
N81650,
A86619,
G82068,
E83661,
C84665,
Y00224,
A82615,
C86603,
Y02679,
L83654,
P84073,
Y01799,
M87603,
Y03198,
P82642,
F85070,
H84011,
F86662,
F85671,
N83036,
A81068,
E84019,
L84035,
P81773,
H81100,
Y02281,
H81627,
Y00308,
F86029,
B82009,
L85618,
L83063,
E84662,
G81648,
B86091,
E83014,
P84695,
B86627,
P83018,
A83059,
Y01645,
L83135,
H83636,
M81633,
B82643,
Y00619,
Y00495,
F86718,
M86619,
B81001,
Y02317,
H85104,
N81620,
Y00953,
Y03293,
Y00579,
B83618,
Y00375,
Y00608,
P87622,
Y01654,
Y01102,
Y00883,
H82018,
Y03230,
E81068,
J82659,
Y02190,
M83648,
G85718,
Y00331,
Y00756,
Y00786,
A83646,
H82062,
P88609,
P87628,
M87029,
Y02039,
Y02037,
Y03087,
Y01674,
D81608,
Y02831,
M83651,
Y02108,
Y00519,
Y02138,
Y01671,
Y00518,
Y01906,
B85626,
P82606,
P87614,
G82772,
A88615,
G82660,
F86015,
Y01647,
Y02172,
C87619,
Y03107,
Y03026,
C84054,
Y02825,
E87059,
F83643,
G84612,
E87734,
F83640,
B87024,
Y02783,
F86629,
K83045,
N84623,
P81122,
Y00775,
B82065,
Y02446,
L83630,
G83681,
P81174,
Y02983,
E81630,
E83052,
P92032,
G85075,
C82619,
L81096,
Y02768,
Y03216,
P84015,
E83627,
E85009,
Y00087,
B81646,
B83057,
P88611,
G82033,
P87626,
M83105,
Y00197,
M85723,
N83639,
F81747,
Y03273,
A86612,
E86638,
B83663,
C88635,
A81627,
A83639,
G82045,
B86650,
C82674,
C86604,
H82079,
A87021,
E84650,
Y02818,
Y03226,
F85689,
Y02691,
M85802,
Y02712,
K82635,
Y01295,
Y00816,
M83634,
N83058,
Y02169,
Y03292,
Y00166,
Y01048,
Y01995,
P91609,
G82163,
Y00169,
N81647,
N83625,
Y02010,
P91037,
L81658,
E85037,
G82766,
N81639,
F81002,
F83014,
Y03059,
B81650,
M92620,
P81211,
P92025,
Y01790,
M83055,
G81697,
Y01814,
C84638,
F85040,
B83619,
E85709,
P87642,
H85639,
Y02145,
Y01074,
K81098,
J83650,
A86607,
Y00089,
Y02746,
P91005,
P81124,
P81792,
Y02817,
E87758,
Y02089,
Y01688,
Y02136,
A86617,
B83636,
J82679,
F83662,
P81706,
A82636,
N84632,
E85717,
N82619,
Y01813,
Y03415,
Y00832,
N82677,
F86727,
P87609,
P84060,
M85668,
Y02918,
F86724,
E82065,
P87616,
Y02631,
C82654,
B82613,
J83640,
L83091,
Y00032,
C85607,
G82632,
B83689,
E85751,
C88659,
H83632,
Y01754,
B86679,
B81662,
B86098,
Y02864,
H83032,
Y02623,
W94609,
W94622,
W95036,
A99915,
A99960,
Y06460,
Y06461,
W00009,
W97048,
W00116,
W92044,
Y06538,
W91030,
W94612,
W95011,
W95012,
W93011,
W00070,
W00092,
W00094,
JER014,
W00107,
W00166,
W93643,
W92019,
W92016,
W00053,
A99949,
W95047,
W95049,
W96445,
W96446,
W97001,
W97002,
W97014,
W95013,
W96015,
W96017,
W96007,
W97016,
Y00214,
W00022,
W94029,
W94014,
W00064,
W93022,
A99962,
W97619,
W94034,
W94039,
W94046,
W97061,
W98059,
W95024,
Y06477,
W00141,
JER998,
W00153,
Y05798,
W98010,
W94010,
JER766,
W00130,
W00119,
W00121,
W97021,
W00118,
W97036,
W93031,
W97044,
W93037,
W98005,
W92003,
W94027,
W92015,
W95005,
W92005,
W98612,
W00123,
W92443,
W98017,
W92018,
W94043,
W00079,
JER798,
Y05812,
W96002,
W00109,
W92027,
W93007,
W97029,
W97045,
W97047,
W97069,
W97294,
W97296,
W98039,
W93004,
W98045,
W00046,
W98041,
W91629,
W97053,
W97299,
W00024,
W00031,
W00036,
W93009,
A99957,
W00004,
W00011,
W00015,
W00023,
W00008,
W00088,
W97297,
W97286,
W00077,
W00067,
W00080,
W00083,
W00084,
W00085,
W00089,
W00063,
W93010,
W00066,
W00030,
W00068,
W00072,
W00073,
W00012,
W00049,
W00082,
W00135,
W00134,
W00105,
W00136,
W00106,
W00137,
W00138,
W00139,
W00140,
W00142,
W00143,
W00144,
W00145,
W00147,
W00148,
W00149,
W00152,
W00150,
W00114,
W00112,
W00047,
W00108,
Y00007,
W91016,
W91022,
W91025,
W91027,
W91034,
W91036,
W91038,
W91039,
W91040,
W91046,
W91047,
W91058,
W91636,
W93019,
W93020,
W00160,
W00164,
W91009,
W00165,
W00155,
W91010,
W00098,
W93075,
W93021,
W92031,
W92033,
W92034,
W92040,
W92051,
W92052,
W93072,
W92053,
W92025,
W92055,
W93026,
W93115,
W93116,
W92056,
W91053,
W92021,
W93014,
W92434,
A99986,
W00020,
Y06410,
W94018,
Y00009,
W00081,
W91614,
W00113,
Y06435,
Y05811,
W00014,
W95078,
W00060,
W00052,
W00100,
W92022,
W93640,
W95009,
W92440,
W93033,
W91043,
W91031,
W91044,
Y05799,
Y05800,
Y05801,
Y05802,
Y05803,
JER774,
W93038,
Y00005,
W00007,
W93044,
W00010,
ALD210,
W93058,
JER002,
JER795,
JER799,
W97017,
W97020,
GUE998,
W00016,
W93059,
W93040,
W00013,
W91032,
W00115,
W00117,
W95065,
W95031,
W98023,
W95046,
W95298,
W95623,
W98001,
W94003,
W91024,
W94004,
W94011,
W94017,
W97616,
W00017,
W98015,
W98019,
W93015,
W00127,
W94033,
W97027,
W00065,
W95014,
W96003,
W96004,
W97025,
W00133,
W95010,
W95633,
W95062,
W95619,
W94024,
W91019,
W91021,
W91020,
W95645,
W94021,
W97024,
Y00013,
W95032,
W97057,
W97065,
W00032,
W95054,
W00167,
W98043,
Y00008,
W98032,
W98033,
W92024,
W98036,
W93035,
W93052,
W93061,
W93064,
W92061,
W93614,
W93619,
W00029,
JER749,
W93623,
W00045,
W00103,
W94001,
W94002,
W98056,
W98057,
W94006,
W94007,
W98049,
W93027,
W94005,
W94009,
W94015,
Y06411,
Y06412,
Y06413,
W94023,
W95038,
W94016,
W94028,
W94030,
W95008,
W91607,
W94008,
W92444,
W92063,
W00005,
Y00010,
W00097,
W91017,
W91018,
Y00014,
A99941,
W96438,
W96016,
W97018,
Y06429,
W91632,
W93067,
W91037,
W00120,
W97052,
W00056,
W00054,
W00058,
W00057,
W00061,
W94633,
GUE999,
W94635,
W00051,
W00129,
W98013,
W98040,
W97067,
W97623,
W00086,
Y05806,
W94637,
W95004,
W00039,
Y00994,
W95634,
W92442,
W92006,
W92009,
W92013,
Y00944,
W91026,
W96010,
W94020,
Y02419,
W00041,
W00040,
W94019,
W95064,
W95076,
W95079,
W95018,
W95636,
JER112,
A99939,
A99953,
W00168,
A99968,
Y00001,
W92035,
W92036,
W95295,
W00104,
W00111,
W00110,
W92037,
JER005,
JER010,
JER015,
W00126,
JER012,
JER106,
JER019,
JER759,
JER017,
JER018,
W92041,
W98027,
W92058,
W98031,
W95051,
W95086,
W97034,
W97611,
W00019,
W00021,
W91048,
W92007,
W92002,
W93024,
W91023,
W98003,
W93018,
W92064,
W93023,
W96006,
W00131,
W00156,
W93046,
W93047,
W00151,
W93048,
W93049,
W91002,
W93125,
W93126,
W91003,
W94032,
W91615,
W95001,
W95070,
W95073,
W95290,
W95057,
W93056,
W95019,
W93057,
W95020,
W93053,
W93054,
W95080,
W95087,
W95050,
W95058,
W95059,
W95016,
W95027,
W95063,
W95067,
W95068,
W95035,
W95037,
W95029,
W95034,
A99973,
W93039,
A99972,
GUE640,
W95072,
W95071,
GUE070,
A99974,
GUE060,
W92039,
W92042,
W92046,
W92049,
W92050,
W93025,
W96011,
W92048,
W92038,
W00169,
W97005,
W91005,
W91006,
W96012,
W97031,
W97040,
W97003,
W91004,
W94031,
W98004,
W91007,
W96005,
W97009,
GUE040,
W97010,
GUE050,
GUE010,
Y00002,
GUE650,
GUE995,
GUE996,
A99923,
GUE643,
W00001,
W00003,
W00124,
W00125,
W94036,
W97300,
W00074,
W00122,
W93045,
W00062,
W93051,
W97041,
W98044,
A99922,
A99981,
A99926,
W97033,
W98012,
A99928,
W97058,
W97063,
W98021,
W98022,
Y00011,
A99931,
A99929,
A99930,
W98034,
W98030,
W98024,
A99945,
W98007,
W98020,
W98048,
W95647,
W98008,
W98046,
W98006,
W00154,
Y05903,
W91013,
W96001,
A99946,
W97062,
W98055,
A99947,
A99950,
W91060,
W98028,
W98053,
W91014,
W98627,
W98785,
W92065,
A99948,
W98016,
W98790,
A99959,
A99956,
A99934,
A99935,
A99936,
W91057,
W97059,
W91604,
W91015,
W91029,
W00157,
W00158,
W91054,
W91055,
W97056,
W93043,
W97068,
W97006,
W97007,
W97008,
W00163,
W97013,
W97011,
W96009,
GUE993,
W93036,
A99980,
A99990,
W91056,
ALD200,
JER604,
W00050,
Y01122,
W97023,
W97064,
W00161,
W97038,
W96013,
JER775,
W92059,
W94571,
W00018,
W00162,
W93063,
W93065,
W93068,
W94035,
W94037,
W97032,
W97028,
W97055,
W97291,
W95017,
W95023,
W95025,
W95026,
W98002,
W93001,
W93012,
W93029,
W95041,
W95042,
W95043,
W95044,
W92616,
W93032,
W95060,
Y00012,
A99954,
A99955,
W95030,
W91610,
A99964,
A99966,
A99967,
W93055,
Y00003,
Y00004,
Y00006,
A99970,
A99971,
A99975,
A99976,
W91624,
W91622,
W00159,
W95007,
W94040,
W00034,
W00071,
W00044,
W91033,
W94038,
W91028,
W91042,
W92014,
W93131,
W00102,
JER109,
JER603,
Y06337,
W91059,
W00006,
W94025,
W94026,
W00043,
W98035,
W97046,
W97015,
W92008,
W97060,
W92023,
W93028,
W98608,
W95081,
W91051,
Y05807,
Y05808,
Y05809,
W00075,
W00076,
W00048,
Y00136,00C
Y05682,00C
Y02064,00C
Y00382,00C
A83048,00C
A83005,00C
A83006,00C
A83010,00C
A83031,00C
A83034,00C
A83040,00C
A83047,00C
A83070,00C
A83013,00C
Y00142,00C
Y04031,00C
A83641,00C
Y05118,00D
Y05119,00D
Y06462,00D
Y06440,00D
Y04032,00D
A83603,00D
A83634,00D
A83037,00D
A83003,00D
Y02115,00D
Y00824,00D
Y03574,00D
A83074,00D
Y00688,00D
Y05735,00D
A83032,00D
A83043,00D
A83061,00D
A83626,00D
A83046,00D
A83060,00D
Y00866,00D
Y05120,00D
A83051,00D
A83616,00D
A83057,00D
A83610,00D
Y02352,00D
A83008,00D
A83007,00D
A83015,00D
A83021,00D
A83041,00D
A83071,00D
A83075,00D
A83627,00D
A83035,00D
A83001,00D
A83045,00D
A83052,00D
A83054,00D
A83020,00D
Y05738,00D
A83066,00D
Y05736,00D
A83012,00D
A83044,00D
A83025,00D
Y02203,00D
A83619,00D
Y04033,00J
Y01259,00J
Y01028,00J
Y06168,00J
A83009,00J
A83026,00J
A83028,00J
A83029,00J
A83033,00J
A83050,00J
A83637,00J
Y02066,00J
Y03385,00J
Y02316,00J
Y00864,00J
A83016,00J
A83617,00J
A83618,00J
A83632,00J
Y05843,00J
A83636,00J
Y00650,00J
Y05785,00J
Y05848,00J
A83022,00J
A83036,00J
Y00605,00J
Y05845,00J
A83011,00J
Y06441,00J
Y03386,00J
Y03572,00J
A83014,00J
A83024,00J
A83027,00J
A83023,00J
A83038,00J
A83049,00J
A83072,00J
A83073,00J
A83622,00J
A83055,00J
A83630,00J
Y02083,00J
Y01636,00J
A83635,00J
A83644,00J
A83018,00J
A83030,00J
A81025,00K
A81070,00K
Y05754,00K
Y02301,00K
Y05755,00K
Y01670,00K
Y00035,00K
Y01044,00K
A81612,00K
A81060,00K
A81631,00K
Y02076,00K
Y01784,00K
Y00516,00K
A81622,00K
A81006,00K
A81067,00K
A81057,00K
A81031,00K
Y05753,00K
A81001,00K
A81017,00K
A81634,00K
Y01036,00K
A81014,00K
A81036,00K
A81040,00K
A81027,00K
A81034,00K
A81039,00K
A81066,00K
A81044,00K
A81063,00K
A81007,00K
A81011,00K
A81041,00K
A81046,00K
A81608,00K
A81629,00K
A81056,00K
A81602,00K
A81610,00K
A81002,00K
Y00661,00L
A84043,00L
Y04374,00L
A84032,00L
A84609,00L
A84036,00L
Y00644,00L
Y04169,00L
A84018,00L
A84024,00L
A84034,00L
Y05873,00L
A84040,00L
A84045,00L
A84047,00L
A84005,00L
A84002,00L
A84006,00L
A84604,00L
A84039,00L
A84035,00L
A84614,00L
A84007,00L
A84027,00L
A84042,00L
A84003,00L
A84025,00L
A84030,00L
A84037,00L
A84038,00L
A84619,00L
A84009,00L
A84014,00L
A84013,00L
A84015,00L
A84020,00L
A84028,00L
A84008,00L
A84022,00L
A84026,00L
A84029,00L
A84031,00L
A84044,00L
A84011,00L
A84016,00L
A84033,00L
A81058,00M
A81611,00M
A81032,00M
A81053,00M
Y05700,00M
Y02327,00M
A81021,00M
A81042,00M
A81043,00M
A81051,00M
A81065,00M
Y03191,00M
Y05107,00M
A81023,00M
A81018,00M
A81048,00M
A81052,00M
A81054,00M
A81618,00M
Y00286,00M
Y03303,00M
A81009,00M
A81633,00M
A81045,00M
A81013,00M
Y06133,00M
A81016,00M
A81029,00M
A81020,00M
A81037,00M
A81621,00M
A81004,00M
A81012,00M
A81035,00M
A81022,00M
A81030,00M
A81038,00M
A81049,00M
A81026,00M
A81005,00M
A81019,00M
A81064,00M
A88010,00N
Y03459,00N
A88008,00N
A88014,00N
Y01786,00N
Y03735,00N
Y01673,00N
Y01956,00N
A88005,00N
A88006,00N
A88007,00N
Y01788,00N
A88013,00N
A88003,00N
A88009,00N
Y03917,00N
Y03456,00N
Y05260,00N
Y03530,00N
Y03092,00N
Y02617,00N
A88004,00N
A88001,00N
A88002,00N
A88015,00N
A88023,00N
A88601,00N
A88012,00N
A88022,00N
Y03529,00N
Y05445,00N
A88016,00N
A88025,00N
A88608,00N
A88613,00N
A89632,00P
Y06520,00P
Y01209,00P
Y05438,00P
Y05439,00P
Y05468,00P
Y05136,00P
A89011,00P
