code,ccg_id
01Y999,
Y01254,
L81674,
F82036,
09X999,
NHT999,
F81107,
Y01189,
Y00396,
P81680,
F82667,
04R999,
Y00246,
K83016,
Y00563,
04E999,
F83656,
NL1999,
B87014,
F86699,
03L999,
03H999,
02F999,
P81131,
H81096,
E82103,
M81053,
M86602,
01A999,
Y03095,
01F999,
RDR999,
C81630,
M83626,
M85151,
M85140,
K83071,
G82797,
Y01816,
Y00637,
G82132,
Y03197,
Y00299,
E85022,
M86608,
P82641,
P87611,
M82053,
F83046,
G83636,
04N999,
07H999,
00J999,
03Y999,
08D999,
RTD999,
00N999,
11E999,
Y00600,
Y00734,
P86627,
Y00702,
Y00829,
M85705,
J82211,
G82629,
F85672,
G82009,
G85126,
H82652,
Y01847,
J84608,
Y01251,
G82676,
M81607,
C87601,
P81007,
L81640,
C81085,
P81673,
Y00787,
H84631,
F82622,
D82033,
E84079,
H84616,
A84010,
B85627,
G82683,
Y01677,
C87615,
B84608,
P88616,
P84666,
P86610,
P81108,
C85011,
P92027,
C82648,
J82682,
J82170,
K82080,
N81124,
P81693,
P85009,
M92645,
M85698,
M88037,
M85787,
N84620,
P87603,
P82628,
N83616,
P88603,
P84641,
P91612,
P87645,
P81719,
Y02777,
P81789,
M81641,
C84708,
N83632,
P91632,
C88660,
P82617,
A87617,
M92638,
P81798,
C85620,
N84636,
C81624,
Y03000,
G81702,
P83625,
Y01758,
B82642,
E87668,
Y01219,
N83042,
Y03155,
M91620,
Y02513,
Y01773,
B82623,
M88638,
L83678,
F86646,
H85004,
P81761,
Y00917,
Y01001,
F86649,
A82061,
Y03270,
Y01637,
07L999,
C83069,
A89626,
F85698,
G82183,
J82137,
F86653,
C87028,
G82176,
N82642,
Y00180,
G85684,
Y00979,
P84622,
P81162,
P91001,
Y02110,
G83623,
Y01877,
Y00176,
Y02023,
D82623,
G85108,
E87041,
B84625,
E85752,
E85017,
C82615,
M87624,
J81085,
F82645,
Y01733,
H82019,
Y00040,
Y00818,
Y02911,
C82115,
Y00443,
Y01203,
Y03088,
M83136,
P84615,
N82044,
N84040,
P81106,
P82637,
E83669,
D81075,
F81630,
Y00598,
Y02427,
Y01905,
Y02174,
F83650,
Y02271,
F85644,
L83110,
F81171,
M83611,
F85006,
H85064,
F84067,
P85024,
F81727,
H85636,
M85080,
F85068,
P81784,
Y02878,
B83643,
F86067,
C86010,
G82168,
J83015,
A82607,
N82638,
F85631,
M84033,
M85073,
L81048,
M85658,
P88035,
P81021,
Y01125,
N85624,
09H999,
C83012,
M85745,
C84645,
G84613,
08N999,
K81611,
H83617,
01G999,
00D999,
12D999,
H85068,
Y01703,
Y02072,
B85613,
K83001,
Y02553,
B83658,
L81111,
Y00725,
Y01082,
Y00664,
Y02105,
Y01919,
M91648,
08W999,
Y01904,
11M999,
Y01100,
Y00788,
Y00909,
Y02761,
H84021,
E81058,
Y02590,
F83655,
G83658,
Y02383,
Y02948,
Y01668,
B81117,
A87028,
M83690,
Y02221,
B87610,
F84066,
Y00440,
G82800,
P81632,
Y01217,
Y02261,
Y01641,
F81760,
J83616,
Y00750,
Y02098,
Y01043,
F83009,
Y00477,
Y03083,
N82114,
Y03045,
Y02360,
N83038,
M83721,
Y01631,
F83636,
Y03238,
F84630,
D82640,
Y02088,
B87611,
C81098,
C81105,
Y02709,
E82097,
B83647,
P87005,
A82632,
E83015,
G82740,
C85031,
E85698,
B84621,
A84001,
D81648,
Y00739,
K81661,
F82620,
H81637,
B81626,
F86719,
Y03137,
A82616,
F86068,
P81216,
Y02739,
Y03064,
F83645,
J82635,
Y02270,
Y02415,
Y00381,
L81661,
F81752,
P88038,
08L999,
07V999,
99A999,
RVR999,
RY8999,
09W999,
Y02454,
P92613,
Y03176,
M92650,
N81633,
B83678,
G85735,
B86641,
Y02215,
P87617,
C86627,
Y00047,
A87611,
P88613,
B86680,
Y00204,
P88631,
Y03431,
G84617,
Y03463,
G85693,
Y00746,
M83654,
05T999,
G83644,
P82650,
P88630,
G84026,
M83131,
M85703,
G82731,
Y01903,
L83675,
B83066,
Y00545,
G85683,
Y01913,
M91649,
A83609,
F81628,
J82677,
G82821,
Y00669,
F85012,
M85702,
C88063,
Y02788,
Y01714,
N81643,
D81642,
E81621,
Y00884,
F81671,
Y00813,
E83630,
M85817,
G82661,
K84623,
E81605,
E81039,
K83075,
K83082,
Y01868,
H81630,
Y00901,
G82134,
C86629,
Y00366,
Y00476,
M86603,
B86105,
B85615,
F84108,
Y02255,
Y02690,
Y00699,
L84607,
F84738,
Y02734,
B83001,
Y00867,
Y01622,
H82630,
Y02984,
F83641,
Y03065,
Y00924,
D82083,
Y02320,
Y02618,
Y03305,
C81639,
A86034,
A82627,
C86602,
P84692,
P87638,
B86604,
M82610,
P92044,
K81053,
F86039,
F85018,
Y00431,
G85730,
Y01093,
M92021,
H82650,
G83643,
F85047,
C85618,
M81606,
B85639,
C82673,
E83022,
09A999,
09Y999,
Y03028,
Y02220,
M84056,
L83660,
N82635,
M85635,
Y02577,
M92611,
N82105,
G82689,
P81739,
B85624,
P84661,
Y00677,
A84617,
Y01976,
Y01902,
Y00517,
Y02020,
Y00800,
N84634,
K82606,
M92625,
J82645,
M87040,
Y01721,
Y02367,
E87771,
D83025,
P91620,
Y02244,
C84711,
F81653,
P81795,
M86606,
E81051,
F86634,
K82056,
D82092,
F85655,
M85808,
F85667,
Y00115,
Y00128,
Y01937,
M86635,
M85162,
E81610,
L83033,
H82646,
P81796,
07R999,
M81610,
A84046,
Y00220,
C81621,
F81686,
