chemical_substance,year,items
amitriptyline,2013,11091779.0
amitriptyline,2008,7208072.0
amitriptyline,2003,4999879.0
amitriptyline,2002,4648177.0
amitriptyline,2012,10394542.0
amitriptyline,2009,7901516.0
amitriptyline,2015,12404539.0
amitriptyline,1999,3713300.0
amitriptyline,2014,11851333.0
amitriptyline,2007,6591071.0
