chemical_substance,year,items,items_per_1000
Amitriptyline,2018,13532567.0,241.66296800192785
Amitriptyline,2005,5627226.0,111.19681460696354
Amitriptyline,2017,13256893.0,238.31117143191025
Amitriptyline,2016,12943139.0,234.18823878512168
Amitriptyline,2000,3992865.0,81.1009012192967
Amitriptyline,1998,3425200.0,70.158908329680543
Amitriptyline,2011,9578647.0,180.36437620510969
Amitriptyline,2015,12404539.0,226.41680493116039
Amitriptyline,1999,3713300.0,75.730784840382753
Amitriptyline,2013,11091779.0,205.91505185108187
Amitriptyline,2012,10394542.0,194.31338643615993
Amitriptyline,2007,6591071.0,128.2781217218004
Amitriptyline,2010,8707635.0,165.41074227097874
Amitriptyline,2004,5338243.0,106.35094213321759
Amitriptyline,2001,4333424.0,87.632968450769155
Amitriptyline,2002,4648177.0,93.56365729790879
Amitriptyline,2003,4999879.0,100.14679873010788
Amitriptyline,2014,11851333.0,218.18989038341829
Amitriptyline,2008,7208072.0,139.1092695485363
Amitriptyline,2006,6018625.0,118.09283589586622
Amitriptyline,2009,7901516.0,151.38047834716571
Amoxapine,2018,6.0,0.0001071472846217252
Amoxapine,2017,4.0,7.19055879630046e-05
Amoxapine,2016,8.0,0.00014474896006919
Amoxapine,2006,67.0,0.00131462252674374
Amoxapine,2005,2072.0,0.0409437616092954
Amoxapine,1999,5600.0,0.11420903107913249
Amoxapine,2000,4203.0,0.085369048997325045
Amoxapine,2002,3234.0,0.0650975355932954
Amoxapine,2004,2681.0,0.0534121200288477
Amoxapine,2003,2924.0,0.0585672652251855
Amoxapine,1998,7200.0,0.14747872824176678
Amoxapine,2001,3614.0,0.073084366538118589
Amoxapine,2011,2.0,3.76596770306098e-05
Amoxapine,2015,6.0,0.00010951643020244109
Amoxapine,2010,14.0,0.00026594481645058596
Clomipramine,2018,282652.0,5.0475657154833184
Clomipramine,2011,349793.0,6.58654570378405
Clomipramine,1999,480900.0,9.8077005439205074
Clomipramine,2005,374208.0,7.394538197051725
Clomipramine,2013,342239.0,6.3535490051201382
Clomipramine,2012,345454.0,6.457844568612753
Clomipramine,2015,304836.0,5.56409175286522
Clomipramine,2000,456427.0,9.270696865739243
Clomipramine,2006,366860.0,7.1982450770329489
Clomipramine,2014,315293.0,5.8047263635794621
Clomipramine,2010,354767.0,6.7391746212660877
Clomipramine,2016,306139.0,5.53916273582772
Clomipramine,2017,300358.0,5.3993546473480327
Clomipramine,2003,393251.0,7.8767563669868128
Clomipramine,2007,367006.0,7.142820998382664
Clomipramine,2008,362108.0,6.9883568557141711
Clomipramine,2001,432684.0,8.7499823052515957
Clomipramine,2004,383422.0,7.6387101401345872
Clomipramine,2009,359985.0,6.8967400050578265
Clomipramine,2002,410455.0,8.262093064918389
Clomipramine,1998,502700.0,10.296882873213367
Desipramine,1998,200.0,0.00409663134004908
Dosulepin,2018,703879.0,12.56978725870923
Dosulepin,1999,3253700.0,66.35748650395962
Dosulepin,1998,3369600.0,69.020044817146925
Dosulepin,2001,3030927.0,61.29313221313781
Dosulepin,2002,2859880.0,57.56683367116684
Dosulepin,2000,3150328.0,63.987748129822684
Dosulepin,2017,817105.0,14.688603863127714
Dosulepin,2016,934088.0,16.901033326638704
Dosulepin,2008,1949149.0,37.61681259999348
Dosulepin,2003,2717002.0,54.42112747994512
Dosulepin,2011,1561772.0,29.407914557724737
Dosulepin,2012,1427940.0,26.693610649478323
Dosulepin,2013,1305845.0,24.242562070924464
Dosulepin,2010,1710121.0,32.48555824666385
Dosulepin,2015,1034235.0,18.877620865070337
Dosulepin,2006,2179113.0,42.756881165972082
Dosulepin,2007,2077572.0,40.434556675509072
Dosulepin,2014,1174429.0,21.621916688452519
Dosulepin,2004,2586664.0,51.532714674486876
Dosulepin,2009,1831909.0,35.096462591289807
Dosulepin,2005,2371074.0,46.853614195945219
Doxepin,2018,26924.0,0.48080558185922095
Doxepin,2014,44910.0,0.82681905715748027
Doxepin,2015,40357.0,0.73662576227998555
Doxepin,2013,48634.0,0.90287343732015524
Doxepin,2011,47632.0,0.89690286816100318
Doxepin,2010,47524.0,0.902768675499833
Doxepin,2017,30556.0,0.54928678644939166
Doxepin,2016,35758.0,0.64699166426926136
Doxepin,2012,48577.0,0.90808824216683415
Doxepin,1998,160500.0,3.2875466503893822
Doxepin,1999,154500.0,3.1509455895939231
Doxepin,2004,126225.0,2.5147127380236123
Doxepin,2001,146095.0,2.9544163058623241
Doxepin,2005,120152.0,2.3742639212741579
Doxepin,2003,131907.0,2.6420766942744707
Doxepin,2006,97162.0,1.9064381185593309
Doxepin,2002,139895.0,2.8159615775584568
Doxepin,2007,41967.0,0.81677893233114962
Doxepin,2009,46647.0,0.89368232291882155
Doxepin,2008,45196.0,0.8722419180213028
Doxepin,2000,151882.0,3.0849445395697659
Imipramine,2018,150526.0,2.6880753608283041
Imipramine,2016,164645.0,2.9790240663239693
Imipramine,2009,196793.0,3.7702408595228794
Imipramine,2007,209097.0,4.0695314035705712
Imipramine,2003,264020.0,5.2882795365094006
Imipramine,2012,182274.0,3.4073918984852374
Imipramine,2013,175849.0,3.2645760389709291
Imipramine,2008,200880.0,3.8768022942764722
Imipramine,2011,188087.0,3.5416478368281505
Imipramine,2004,246005.0,4.90102520988313
Imipramine,2006,218872.0,4.2945382339321752
Imipramine,2010,193548.0,3.6766490953127224
Imipramine,2015,167072.0,3.0495215044637023
Imipramine,2014,174724.0,3.2167698272719618
Imipramine,2005,230315.0,4.551140181006204
Imipramine,2017,156555.0,2.8142948308870506
Imipramine,2000,339417.0,6.89405341506664
Imipramine,2002,289854.0,5.8345024990287682
Imipramine,1998,385100.0,7.8880636452645012
Imipramine,1999,362100.0,7.3848375274560576
Imipramine,2001,317628.0,6.423254337235619
Lofepramine,2018,197325.0,3.5238063229969878
Lofepramine,2009,360943.0,6.9150937612555632
Lofepramine,1999,782400.0,15.956633199341688
Lofepramine,2010,343521.0,6.5255449494229945
Lofepramine,2002,598686.0,12.051015211567035
Lofepramine,2008,387397.0,7.4764116805845262
