practice,Other,Venlafaxine,Mirtazapine,Duloxetine,MAOi,Isocarboxazid,Iproniazid,Tranylcypromine,Moclobemide,Phenelzine,Citalopram,Fluoxetine,Fluvoxamine,Sertraline,Escitalopram,Paroxetine,Tricyclics,Trimipramine,Dosulepin,Amitriptyline,Trazodone,Lofepramine,Maprotiline,Mianserin,total_items,total_cost
A81001,670,143,458,64,0,0,0,0,0,0,241,142,0,404,6,25,354,2,12,255,21,15,0,0,1842,3612.1041799999994
A81002,2089,543,1000,506,0,0,0,0,0,0,1166,1256,0,2250,157,141,1826,3,75,1416,222,26,0,0,8885,16738.554819999998
A81004,918,175,487,255,2,2,0,0,0,0,402,490,2,1037,56,66,944,1,15,793,84,7,0,0,3917,11228.329660000001
A81005,642,176,364,102,3,0,0,0,0,3,494,224,0,824,75,36,493,0,3,393,65,14,0,0,2791,4829.95934
A81006,1483,368,858,255,2,0,0,0,0,2,691,1063,4,2245,47,52,1592,0,26,1357,130,8,0,0,7179,12693.57273
A81007,1100,269,705,120,0,0,0,0,0,0,392,798,1,1128,39,87,958,0,0,569,151,23,0,0,4503,8490.03716
A81009,865,206,498,159,0,0,0,0,0,0,699,440,0,1005,11,39,860,0,39,684,106,4,0,0,3919,7053.8264699999991
A81011,1296,324,789,177,0,0,0,0,0,0,663,765,0,1597,31,65,1035,7,7,840,123,9,0,0,5452,12130.939789999999
A81012,1406,261,976,158,0,0,0,0,0,0,593,177,0,895,56,48,1067,0,16,854,124,42,0,0,4242,6898.398110000001
A81013,1231,316,571,333,3,0,0,0,3,0,345,470,0,1017,43,37,811,0,4,695,73,13,0,0,3957,7504.6144799999993
A81014,173,59,96,18,0,0,0,0,0,0,285,87,0,277,22,47,330,0,22,266,19,8,0,0,1221,2408.8378399999997
A81016,870,135,535,195,0,0,0,0,0,0,483,380,0,818,154,128,650,2,52,503,61,16,0,0,3483,6491.2941800000008
A81017,1453,309,883,247,0,0,0,0,0,0,1021,1014,0,1654,120,74,1814,0,60,1454,181,8,0,0,7150,12110.032089999999
A81018,1395,229,974,182,0,0,0,0,0,0,771,466,0,1231,127,86,1054,0,49,772,129,16,0,0,5130,7343.95862
A81019,1360,374,765,197,0,0,0,0,0,0,662,456,3,1332,75,83,1256,0,28,933,159,47,0,0,5227,9631.78315
A81020,981,254,533,177,5,0,0,0,5,0,315,371,3,998,12,44,898,0,48,681,98,13,0,0,3627,8693.1960699999981
A81021,1749,414,1106,223,10,0,0,4,0,6,1064,690,0,1574,184,130,1497,16,97,1197,104,30,0,0,6898,15645.14359
A81022,1302,390,712,189,0,0,0,0,0,0,808,611,0,1498,63,64,1118,4,51,935,57,20,0,0,5464,12776.96022
A81023,979,177,608,185,0,0,0,0,0,0,488,234,4,584,57,86,673,0,10,481,136,26,0,0,3105,6982.7443
A81025,360,86,216,47,0,0,0,0,0,0,171,216,0,322,37,28,356,0,7,305,26,3,0,0,1490,3264.3811199999996
A81026,2249,364,1490,371,4,0,0,0,4,0,884,650,6,3131,87,213,2049,0,80,1532,310,33,0,0,9273,17080.49686
A81027,763,261,399,79,1,0,0,0,0,1,1164,516,3,1201,54,36,1195,0,56,973,58,5,0,0,4933,9821.8238899999978
