practice,Other,Venlafaxine,Mirtazapine,Duloxetine,MAOi,Isocarboxazid,Iproniazid,Tranylcypromine,Moclobemide,Phenelzine,Citalopram,Fluoxetine,Fluvoxamine,Sertraline,Escitalopram,Paroxetine,Tricyclics,Trimipramine,Dosulepin,Amitriptyline,Trazodone,Lofepramine,Maprotiline,Mianserin,total_items,total_cost
A81029,1032,324,613,57,0,0,0,0,0,0,660,283,0,460,27,92,922,0,13,748,133,19,0,0,3476,4978.85414
A81030,1420,399,747,228,3,2,0,0,1,0,502,417,13,1177,52,89,1022,1,73,728,111,53,0,0,4695,15446.20358
A81031,1388,264,824,277,0,0,0,0,0,0,662,541,39,1288,41,54,1577,6,26,1019,447,9,0,0,5590,18562.873709999996
A81032,1433,626,579,216,3,0,0,0,0,3,599,489,0,1258,86,76,997,2,51,802,68,19,0,0,4941,12021.333840000001
A81034,1744,431,937,349,0,0,0,0,0,0,1435,1075,2,2435,131,56,1942,0,52,1387,346,50,0,0,8820,17141.89455
A81035,893,147,535,195,0,0,0,0,0,0,630,361,0,1009,36,92,888,0,31,701,76,33,0,0,3909,10040.92211
A81036,1779,453,941,367,0,0,0,0,0,0,1094,854,0,2154,111,95,1701,0,57,1373,165,25,0,0,7788,15245.4955
A81037,770,104,568,84,0,0,0,0,0,0,672,144,0,672,11,76,641,3,40,511,58,15,0,0,2986,6451.56177
A81038,391,51,268,54,0,0,0,0,0,0,127,173,0,488,25,44,265,0,2,230,31,0,0,0,1513,1911.7967099999998
A81039,644,237,262,134,3,0,0,0,0,3,461,426,4,1058,85,51,805,0,28,594,104,12,0,0,3537,8192.5541199999989
A81040,956,263,478,215,0,0,0,0,0,0,681,695,0,1104,43,30,674,0,5,607,26,15,0,0,4183,7521.68506
A81041,952,174,557,221,0,0,0,0,0,0,333,308,0,1221,79,47,749,0,12,596,109,3,0,0,3689,6866.0890399999989
A81042,2089,463,1466,150,2,0,0,0,0,2,1748,813,8,1492,142,150,1704,0,131,1462,63,19,0,0,8148,12202.061020000001
A81043,1907,443,1221,240,0,0,0,0,0,0,570,369,0,1622,56,95,1079,3,58,760,210,6,0,0,5698,11819.14899
A81044,2044,418,1389,230,0,0,0,0,0,0,1099,1144,0,2476,73,102,2030,3,103,1645,179,10,0,0,8968,14491.638550000001
A81045,1365,311,773,276,0,0,0,0,0,0,700,627,3,864,46,76,1081,0,32,838,116,47,0,0,4762,9105.7200000000012
A81046,1419,411,788,214,12,0,0,0,0,12,985,799,3,1088,60,67,1217,0,32,998,90,29,0,0,5650,11331.70425
A81048,734,141,517,76,0,0,0,0,0,0,580,574,0,835,76,58,912,0,41,821,23,7,0,0,3769,6539.80854
A81049,838,186,518,130,4,0,0,0,4,0,475,285,3,696,142,132,1054,3,55,874,103,0,0,0,3629,6582.0951700000005
A81051,660,191,378,85,4,0,0,4,0,0,315,417,0,791,16,85,500,0,25,414,33,8,0,0,2788,8045.0710999999992
A81052,1040,211,625,201,4,0,0,3,0,1,728,271,0,1099,47,75,1164,2,21,973,90,21,0,0,4428,11242.035810000001
A81053,1096,233,716,141,0,0,0,0,0,0,913,484,6,658,21,190,915,0,61,770,53,12,0,0,4283,8352.02218
A81054,1161,216,687,250,3,0,0,0,0,3,480,829,0,980,100,86,1194,6,16,961,136,6,0,0,4833,10078.006089999999
A81056,111,9,85,17,0,0,0,0,0,0,207,171,0,204,19,3,174,0,0,149,19,0,0,0,889,1840.3133500000001
A81057,1050,220,530,284,1,0,0,0,1,0,591,563,0,1086,19,21,1403,0,20,1200,104,39,0,0,4734,8764.76887
A81058,1108,245,616,204,7,0,0,4,0,3,675,468,0,853,32,64,1185,0,59,869,130,23,0,0,4392,15667.457609999998
A81060,369,45,285,39,0,0,0,0,0,0,204,265,0,418,9,9,629,0,7,383,203,1,0,0,1903,3795.93462
A81063,539,180,338,21,0,0,0,0,0,0,285,237,0,570,7,54,469,0,3,423,33,2,0,0,2161,2742.35322
A81064,677,65,517,91,0,0,0,0,0,0,487,398,3,731,17,52,848,3,18,513,283,1,0,0,3213,5783.4784400000008
A81065,490,87,312,79,0,0,0,0,0,0,329,79,0,412,49,39,528,0,3,507,14,0,0,0,1926,3370.38386
A81066,421,82,215,112,3,0,0,0,0,3,380,404,0,206,66,20,363,0,15,309,20,6,0,0,1863,3358.89632
A81067,1433,289,803,333,0,0,0,0,0,0,668,587,0,1254,34,53,1143,0,59,971,79,7,0,0,5172,10604.875259999997
A81070,709,220,399,80,0,0,0,0,0,0,368,322,0,692,18,14,631,0,4,459,129,9,0,0,2754,5421.82422
A81602,106,35,44,10,0,0,0,0,0,0,115,157,0,316,0,11,273,0,1,242,11,0,0,0,978,2861.0036799999993
A81608,533,114,334,85,0,0,0,0,0,0,481,303,3,719,17,43,630,0,2,557,40,16,0,0,2729,4274.20661
A81610,671,182,318,162,0,0,0,0,0,0,395,366,0,748,32,44,765,0,4,600,110,0,0,0,3021,5115.7753799999991
A81611,909,243,524,137,0,0,0,0,0,0,329,411,0,808,75,108,781,0,40,598,97,4,0,0,3421,6217.9120399999993
A81612,215,63,131,17,0,0,0,0,0,0,131,118,0,190,0,14,183,0,0,139,36,0,0,0,851,1513.0372600000003
A81618,1438,350,880,203,0,0,0,0,0,0,571,441,0,1160,378,120,782,0,60,563,62,18,0,0,4890,10294.03482
A81621,446,119,253,74,0,0,0,0,0,0,162,153,0,247,19,19,255,0,5,166,75,8,0,0,1301,1829.03233
A81622,599,132,391,76,0,0,0,0,0,0,508,317,0,548,27,13,647,0,0,357,223,9,0,0,2659,4454.0142000000005
A81629,761,108,425,228,0,0,0,0,0,0,443,143,0,514,35,31,514,0,14,376,80,15,0,0,2441,4957.3358400000006
A81630,1081,52,994,35,0,0,0,0,0,0,12,33,0,326,4,13,108,0,0,73,32,0,0,0,1577,1139.70573
A81631,362,91,222,36,1,0,0,0,1,0,319,214,0,583,19,15,773,0,4,626,117,7,0,0,2286,6138.5198500000006
A81633,116,0,116,0,0,0,0,0,0,0,24,10,0,41,4,0,30,0,0,23,4,0,0,0,225,296.84463000000005
A81634,222,39,179,4,0,0,0,0,0,0,46,40,0,237,8,0,156,0,0,140,7,0,0,0,709,855.17652
A82003,741,198,456,65,0,0,0,0,0,0,550,230,0,874,19,55,675,0,10,544,58,23,0,0,3144,8400.72598
A82004,189,30,127,26,0,0,0,0,0,0,243,92,0,149,9,32,146,0,0,118,3,10,0,0,860,1442.70881
A82005,224,88,102,27,0,0,0,0,0,0,439,136,0,349,8,66,356,0,17,307,19,2,0,0,1578,5072.09289
A82006,308,75,191,42,0,0,0,0,0,0,276,192,0,271,7,47,344,1,3,284,25,3,0,0,1445,2707.2572499999997
A82007,1258,350,801,79,0,0,0,0,0,0,699,583,0,1101,54,191,1086,0,30,953,48,10,0,0,4972,9983.44883
A82008,1376,338,912,126,3,0,0,0,3,0,905,511,0,1371,56,83,1096,6,34,974,21,4,0,0,5401,11651.17918
A82009,965,200,671,87,0,0,0,0,0,0,953,565,0,916,12,26,860,0,15,734,33,11,0,0,4297,7263.34844
A82010,637,235,365,37,1,0,0,0,1,0,541,353,0,681,13,97,521,0,39,397,41,5,0,0,2844,5862.4246
A82012,1635,518,1019,95,3,0,0,0,0,3,1312,1012,0,1528,36,207,1404,0,59,1218,32,5,0,0,7137,14183.962889999999
A82013,460,152,248,58,4,0,0,0,0,4,510,229,0,228,65,127,533,0,23,492,6,0,0,0,2156,4671.2152399999986
A82014,273,88,151,33,1,0,0,0,1,0,270,149,0,242,14,113,312,0,1,265,20,0,0,0,1374,1929.87991
A82015,898,260,543,78,0,0,0,0,0,0,489,297,4,648,19,37,411,7,4,237,149,5,0,0,2803,6382.84317
A82016,3939,810,2720,364,5,0,0,0,0,5,1945,1922,1,2920,107,288,2989,0,99,2505,213,34,0,0,14116,31314.207270000003
A82018,911,221,540,125,0,0,0,0,0,0,299,576,0,1216,31,246,849,0,6,722,70,10,0,0,4128,9433.657799999999
A82019,909,216,631,61,3,0,0,0,0,3,611,441,1,668,12,58,481,0,1,419,26,6,0,0,3184,6153.40879
A82020,1130,310,683,132,1,0,0,0,1,0,636,630,0,1323,23,151,950,3,39,768,72,6,0,0,4844,15963.946080000002
A82021,1165,385,651,129,3,0,0,0,3,0,1005,822,0,1009,29,232,1282,4,31,1162,34,18,0,0,5547,10670.46426
A82022,257,65,155,21,0,0,0,0,0,0,466,222,0,464,22,55,421,0,11,357,20,14,0,0,1907,3375.58161
A82023,502,102,354,46,0,0,0,0,0,0,279,345,0,494,9,37,417,0,3,374,38,0,0,0,2083,2982.2699599999996
A82024,412,98,246,64,0,0,0,0,0,0,320,156,0,383,1,42,430,0,0,377,8,4,0,0,1744,3090.28431
A82025,1138,228,832,76,2,0,0,0,0,2,702,341,3,835,79,76,733,0,82,521,42,14,0,0,3909,10383.80719
A82026,1018,170,718,113,0,0,0,0,0,0,1030,794,0,801,118,74,1412,3,34,1243,57,0,0,0,5247,12568.91671
A82027,940,155,686,94,1,0,0,0,0,1,775,472,4,787,41,95,1070,0,48,798,77,45,0,3,4185,8739.4443
A82028,389,156,216,17,0,0,0,0,0,0,376,295,0,482,10,52,574,0,14,484,34,3,0,3,2178,3854.9520899999998
A82029,204,47,129,28,0,0,0,0,0,0,230,155,0,141,4,51,294,0,10,255,7,0,0,0,1079,3019.70592
A82030,504,166,272,64,0,0,0,0,0,0,712,186,0,282,12,35,490,0,12,400,29,18,0,0,2221,6965.0765599999986
A82031,249,81,126,25,0,0,0,0,0,0,272,150,0,287,4,11,181,0,0,171,6,4,0,0,1154,1860.7618800000002
A82032,1998,373,1302,321,4,0,0,0,0,4,841,1129,3,1411,125,116,1941,0,29,1678,126,12,0,0,7568,14387.98062
A82033,999,228,634,130,0,0,0,0,0,0,267,296,0,875,142,95,623,0,19,537,39,0,0,0,3297,6294.52527
A82034,428,125,242,60,0,0,0,0,0,0,492,196,0,372,11,40,597,9,46,483,10,5,0,0,2136,9388.38117
A82035,1182,247,723,159,2,0,0,0,0,2,895,561,0,924,35,105,913,2,97,689,71,15,0,0,4617,12290.849830000001
A82036,567,121,300,137,0,0,0,0,0,0,521,469,1,474,56,142,845,0,27,725,52,3,0,0,3075,7095.2583799999993
A82037,324,67,208,49,0,0,0,0,0,0,229,337,6,205,14,45,631,0,3,611,6,0,0,0,1791,3175.14599
A82038,185,22,125,38,4,0,0,0,0,4,259,98,0,316,27,38,288,0,0,267,11,4,0,0,1215,1984.41175
A82039,493,85,292,112,3,0,0,0,0,3,480,186,0,750,12,60,704,0,23,595,22,26,0,0,2688,6528.6342399999994
A82041,1603,451,1018,134,3,0,0,0,0,3,698,733,3,1164,8,114,1214,0,32,1083,64,5,0,0,5540,8995.9168999999983
A82044,2614,734,1606,258,0,0,0,0,0,0,2219,1582,0,1913,100,258,2503,0,56,2128,222,32,0,0,11189,19628.661620000003
A82045,699,137,434,118,0,0,0,0,0,0,662,503,0,751,20,149,869,0,28,796,20,7,0,0,3653,7175.53075
A82046,366,94,239,33,0,0,0,0,0,0,326,125,0,236,8,7,384,3,10,342,7,7,0,0,1452,3933.2555799999996
A82047,1311,295,874,132,0,0,0,0,0,0,960,732,0,709,56,183,935,4,20,733,137,9,0,0,4886,11753.30406
A82048,721,205,429,85,0,0,0,0,0,0,819,226,0,589,78,62,668,0,22,546,66,2,0,0,3163,6413.14339
A82049,639,201,370,42,0,0,0,0,0,0,350,310,0,529,1,21,693,0,0,611,54,18,0,0,2543,5938.62581
A82050,1044,202,672,153,0,0,0,0,0,0,599,375,0,797,25,45,672,0,46,537,34,2,0,0,3557,6118.57116
A82053,385,101,241,41,4,0,0,0,0,4,502,204,0,294,45,16,434,0,18,346,29,18,0,0,1884,4360.16597
A82055,594,230,255,106,2,0,0,0,0,2,383,372,2,565,14,72,628,0,11,531,58,4,0,0,2632,4684.63584
A82058,464,126,315,23,0,0,0,0,0,0,436,193,0,311,42,43,631,0,6,599,8,5,0,4,2120,3628.0888699999996
A82062,493,78,347,68,0,0,0,0,0,0,249,175,0,522,4,18,300,0,3,258,19,8,0,0,1761,2849.83043
A82064,742,230,452,51,0,0,0,0,0,0,317,390,0,643,5,51,536,0,0,494,21,0,0,0,2684,3764.74875
A82065,330,107,169,41,0,0,0,0,0,0,329,87,0,297,10,19,344,0,36,286,0,16,0,0,1416,2447.7832099999996
A82068,343,86,221,36,0,0,0,0,0,0,299,152,1,235,1,53,379,0,10,326,20,8,0,0,1463,3232.23111
A82070,267,113,107,44,3,0,0,0,0,3,440,126,0,218,13,41,349,0,21,287,11,12,0,0,1457,2966.73501
A82071,415,66,308,41,0,0,0,0,0,0,378,174,0,343,0,32,356,3,7,317,11,0,0,0,1698,4080.2508500000004
A82072,953,303,565,81,0,0,0,0,0,0,677,523,0,824,9,256,583,0,0,528,10,7,0,0,3825,5800.3179999999993
A82075,622,183,387,47,0,0,0,0,0,0,518,573,0,837,12,73,818,0,27,742,25,6,0,0,3453,5716.222310000001
A82077,826,154,342,284,0,0,0,0,0,0,614,152,0,382,231,40,679,14,76,482,0,9,0,0,2924,9176.67688
A82608,207,27,146,28,3,0,0,0,0,3,313,246,0,72,2,11,348,0,19,290,6,15,0,0,1202,3205.86647
A82613,25,22,3,0,0,0,0,0,0,0,72,28,0,18,0,3,103,0,41,51,0,5,0,0,249,487.49364
A82617,84,26,37,21,1,0,0,0,1,0,270,111,0,109,25,43,163,0,18,115,13,3,0,0,806,1344.01717
A82620,18,10,8,0,0,0,0,0,0,0,9,31,0,31,5,8,40,0,0,35,3,0,0,0,142,261.52812
A82621,84,27,43,14,0,0,0,0,0,0,172,38,0,46,2,8,97,0,9,74,0,0,0,0,447,935.46602999999993
A82623,565,179,325,55,0,0,0,0,0,0,600,271,0,290,18,24,448,0,13,403,24,3,0,0,2216,4727.58351
A82629,313,47,228,38,0,0,0,0,0,0,180,144,0,527,0,11,468,7,13,393,20,26,0,0,1643,5614.18677
A82631,223,124,74,25,3,0,0,0,3,0,155,209,0,219,62,16,348,0,18,243,18,2,0,0,1235,3154.5542699999996
A82646,570,127,341,95,0,0,0,0,0,0,277,197,0,486,92,46,431,0,5,392,15,10,0,3,2099,4636.93037
A82647,154,29,111,11,0,0,0,0,0,0,286,143,0,160,12,30,279,0,14,245,5,6,0,0,1064,1575.94915
A82650,193,47,91,55,0,0,0,0,0,0,196,101,0,101,26,16,207,0,9,158,13,6,0,0,840,1888.89318
A82651,140,36,70,34,0,0,0,0,0,0,144,136,0,137,3,56,167,0,0,141,10,2,0,0,783,2114.73202
A82654,725,213,414,86,0,0,0,0,0,0,405,447,0,655,29,76,549,0,18,458,33,2,0,0,2886,8360.65074
A83001,1432,443,757,209,0,0,0,0,0,0,738,625,0,1822,51,136,1401,3,25,1035,270,38,0,0,6205,10729.78253
A83003,1225,250,705,244,0,0,0,0,0,0,398,509,18,1499,22,84,1111,0,27,856,173,10,0,0,4866,8680.0864599999986
A83005,1265,267,680,311,11,0,0,0,0,11,667,677,0,1686,27,40,1443,0,55,1019,293,23,0,0,5816,9598.60436
A83006,648,91,393,128,2,0,0,0,0,2,357,301,0,609,71,16,824,0,8,647,128,12,0,0,2828,6920.09605
A83007,1567,413,864,276,0,0,0,0,0,0,1085,809,0,1330,134,82,1926,5,48,1558,204,49,0,0,6933,12426.3795
A83008,830,168,445,200,0,0,0,0,0,0,506,284,0,1005,10,77,1054,0,13,927,77,5,0,0,3766,5276.5892600000006
A83009,883,184,589,93,0,0,0,0,0,0,614,500,0,938,20,74,1073,0,17,773,234,26,0,0,4102,6247.71133
A83010,1580,387,951,239,13,0,0,0,13,0,655,596,0,1834,158,70,1524,0,29,1124,277,22,0,0,6430,13346.426100000002
A83011,968,323,534,74,3,0,0,0,0,3,582,436,1,1518,232,46,1044,0,47,686,185,17,0,0,4830,12795.31262
A83012,2396,545,1405,354,0,0,0,0,0,0,1736,1173,0,2041,110,107,3286,0,131,2358,709,10,0,0,10849,17869.43525
A83013,1299,217,752,319,0,0,0,0,0,0,807,586,0,1597,18,33,1415,0,17,1016,350,9,0,0,5755,10591.81139
A83014,957,414,415,114,12,0,0,0,0,12,356,342,0,654,39,39,690,0,9,526,140,2,0,0,3089,7931.37387
A83015,1198,164,645,367,0,0,0,0,0,0,521,506,0,1000,95,48,1213,0,6,937,220,5,0,0,4581,7661.1547299999993
A83016,2008,404,1069,517,2,0,0,2,0,0,775,758,0,1880,22,136,2484,0,55,1549,731,60,0,0,8065,15039.39231
A83018,3614,735,1851,787,3,0,0,0,3,0,1654,1429,13,3306,92,293,3955,0,143,2896,672,60,0,0,14359,21749.2365
A83020,1445,282,810,350,0,0,0,0,0,0,689,671,0,1415,94,137,1428,0,2,1002,353,2,0,0,5879,11588.598569999998
A83021,2195,422,1157,607,0,0,0,0,0,0,722,1052,0,2551,60,47,2444,15,35,1705,572,6,0,0,9071,17155.64051
A83022,3212,694,1986,494,0,0,0,0,0,0,1284,1571,0,3373,101,192,3552,5,6,2572,717,49,0,0,13285,24418.637120000003
A83023,1558,311,941,279,2,0,0,2,0,0,1060,799,0,1883,14,100,2118,0,14,1543,396,34,0,0,7534,13963.98497
A83024,905,119,622,163,0,0,0,0,0,0,312,343,0,888,24,110,1026,0,3,687,283,6,0,0,3608,5923.76765
A83025,1736,254,936,521,0,0,0,0,0,0,1024,737,0,2351,63,56,2047,3,9,1333,655,19,0,0,8014,10954.61389
A83026,1327,257,854,209,0,0,0,0,0,0,680,718,6,1604,113,73,1466,0,13,1008,309,15,0,0,5987,9888.1299699999981
A83027,727,157,482,56,0,0,0,0,0,0,317,245,0,924,26,19,1023,1,0,705,247,24,0,0,3281,6343.7282700000005
A83028,1329,331,789,173,0,0,0,0,0,0,322,654,1,1784,86,162,1301,0,6,899,297,64,0,0,5639,9089.39084
A83029,695,235,295,129,0,0,0,0,0,0,496,358,0,427,25,14,813,0,3,577,106,2,0,0,2828,11717.954390000003
A83030,1422,299,800,321,1,0,0,1,0,0,726,607,0,1595,95,96,1528,0,16,1211,184,15,0,0,6070,10462.72719
A83031,902,228,387,245,1,0,0,0,0,1,804,409,1,980,36,22,1280,0,29,895,254,34,0,0,4435,9358.6779300000017
A83032,238,119,49,67,0,0,0,0,0,0,173,272,0,138,14,18,188,0,3,127,57,0,0,0,1041,1523.5289
A83033,1095,219,722,138,3,0,0,0,0,3,463,570,0,968,16,120,1424,0,9,1052,285,17,0,0,4659,7630.9171099999985
A83034,979,183,583,197,0,0,0,0,0,0,339,446,2,1154,24,20,970,0,56,610,273,6,0,0,3934,7881.7248100000006
A83035,555,134,238,173,8,0,0,4,0,4,457,393,0,628,20,63,684,3,13,519,114,17,0,0,2808,7264.92297
A83036,816,285,408,97,0,0,0,0,0,0,476,373,0,754,19,53,800,0,18,526,201,1,0,0,3291,8758.76395
A83037,1430,318,800,260,2,0,0,0,0,2,978,496,1,2398,28,102,1979,0,68,1613,173,28,0,0,7414,12484.25472
A83038,581,125,387,57,0,0,0,0,0,0,473,295,0,522,3,27,776,0,0,614,121,14,0,0,2677,4817.39509
A83040,1738,359,988,352,4,0,0,0,0,4,595,531,0,1864,98,123,1864,0,16,1277,522,0,0,0,6817,11097.25638
A83041,1824,617,963,194,0,0,0,0,0,0,1217,551,16,1396,41,165,1656,0,22,1372,135,15,0,0,6866,8372.94255
A83043,357,58,153,139,0,0,0,0,0,0,111,171,0,206,18,13,350,0,21,278,40,4,0,0,1226,1803.16056
A83044,1083,299,637,140,0,0,0,0,0,0,742,484,0,1053,92,79,1295,1,53,930,185,41,0,0,4828,9104.50597
A83045,2400,568,1321,493,0,0,0,0,0,0,1228,764,0,1935,64,100,2385,12,10,1754,510,57,0,0,8876,15541.25833
A83046,966,140,500,326,3,0,0,0,3,0,484,704,0,1077,35,82,1057,1,10,833,170,7,0,0,4408,7183.92584
A83047,1718,298,1092,245,0,0,0,0,0,0,590,557,0,2703,113,53,2147,0,22,1367,703,5,0,0,7881,12216.422209999999
A83048,574,94,357,110,0,0,0,0,0,0,430,268,0,622,73,11,478,0,15,315,137,5,0,0,2456,4041.31286
A83049,2048,723,929,343,7,0,0,1,1,5,971,668,0,1515,47,113,1715,4,32,1219,286,93,0,0,7084,16584.62201
A83050,1249,319,760,150,0,0,0,0,0,0,862,648,6,1176,87,103,1472,6,41,886,464,9,0,0,5603,14505.618250000001
A83051,2003,382,1348,240,0,0,0,0,0,0,563,965,0,1543,50,56,1736,13,24,1317,287,31,0,0,6916,10154.692210000001
A83052,1886,297,1152,428,2,0,0,0,0,2,389,544,0,1545,26,89,1503,0,41,1044,364,16,0,0,5984,7553.67312
A83054,1447,380,835,212,4,0,0,3,1,0,559,1055,4,1856,52,25,2282,5,18,1818,319,41,0,0,7284,15679.702149999997
A83055,393,89,258,46,0,0,0,0,0,0,193,195,0,340,8,43,513,0,0,363,95,9,0,0,1685,3217.6829400000006
A83057,1805,334,1125,266,0,0,0,0,0,0,934,1226,0,1435,85,108,2479,4,25,1888,484,31,0,0,8072,13823.72067
A83060,243,28,140,30,0,0,0,0,0,0,67,158,0,227,2,59,386,3,2,216,157,0,0,0,1142,4504.4309000000012
A83061,301,46,168,83,0,0,0,0,0,0,261,80,0,237,24,21,353,0,2,222,127,0,0,0,1277,2545.7945999999997
A83066,1472,295,808,369,0,0,0,0,0,0,636,654,0,2015,68,76,2743,0,24,1861,796,8,0,0,7664,10361.379439999999
A83070,540,150,244,143,0,0,0,0,0,0,532,166,0,753,77,28,546,0,9,393,98,1,0,0,2642,3561.39281
A83071,717,232,361,56,0,0,0,0,0,0,420,304,0,710,10,72,589,0,0,529,38,18,0,0,2822,3534.65728
A83072,212,28,151,33,0,0,0,0,0,0,175,190,0,414,12,47,443,0,0,312,117,5,0,0,1493,2600.1733700000004
A83073,504,157,277,62,0,0,0,0,0,0,258,360,0,783,1,20,1109,0,0,741,290,14,0,0,3035,5800.90602
A83074,1481,254,916,304,3,0,0,0,0,3,562,818,2,1739,32,37,1599,0,12,1327,211,19,0,0,6273,11885.32177
A83075,844,149,563,103,0,0,0,0,0,0,524,403,0,614,18,97,950,0,14,745,147,15,0,0,3450,4305.48118
A83603,321,44,223,42,0,0,0,0,0,0,141,181,0,405,18,6,319,0,0,188,119,2,0,0,1391,1878.2424799999997
A83610,423,83,248,36,0,0,0,0,0,0,168,290,3,344,21,11,615,0,6,420,132,23,0,0,1875,3847.2646699999996
A83616,591,99,424,65,0,0,0,0,0,0,221,463,1,766,32,45,498,0,12,405,62,7,0,0,2617,3371.2624500000006
A83617,282,59,191,32,0,0,0,0,0,0,313,188,3,347,26,55,330,0,3,251,54,4,0,0,1544,3625.59883
A83618,962,203,555,185,0,0,0,0,0,0,796,461,0,815,21,37,1459,0,45,1160,197,16,0,0,4551,6616.7914199999987
A83619,525,90,372,63,0,0,0,0,0,0,347,404,0,555,27,16,462,0,0,391,56,2,0,0,2336,3180.3119599999995
A83622,153,40,74,39,0,0,0,0,0,0,164,199,0,145,12,7,292,0,0,221,59,0,0,0,972,1262.6537400000002
A83626,157,33,83,39,0,0,0,0,0,0,107,74,0,344,0,0,206,0,0,121,72,0,0,0,888,1555.03598
A83627,1146,188,686,224,0,0,0,0,0,0,678,387,0,710,68,29,833,0,0,731,78,15,0,0,3851,5209.3867000000009
A83630,155,50,86,19,0,0,0,0,0,0,145,107,0,244,0,37,159,0,0,120,35,0,0,0,847,1568.27796
A83632,165,32,99,31,0,0,0,0,0,0,59,66,3,211,4,14,344,0,0,305,35,0,0,0,866,1215.9704399999998
A83634,672,136,471,65,0,0,0,0,0,0,372,169,0,623,12,10,648,4,8,545,72,0,0,0,2506,3547.0694199999994
A83635,523,235,198,86,0,0,0,0,0,0,241,306,0,475,18,20,738,0,1,597,104,0,0,0,2321,7075.14305
A83636,774,138,489,142,0,0,0,0,0,0,689,450,0,1257,37,72,1361,0,0,1167,124,19,0,0,4640,6078.9222899999995
A83637,422,145,241,35,0,0,0,0,0,0,129,176,0,381,0,20,540,0,0,327,204,5,0,0,1668,3768.78834
A83641,702,63,499,110,0,0,0,0,0,0,284,310,0,591,1,32,464,0,18,323,110,11,0,0,2384,2563.9012299999995
A83644,646,217,265,163,0,0,0,0,0,0,227,198,0,357,1,6,478,0,2,357,81,9,0,0,1913,3359.7664
A84002,248,89,134,25,13,0,0,0,13,0,288,182,0,249,7,48,434,0,13,313,81,8,0,0,1469,4515.65653
A84003,1760,556,937,246,4,0,0,0,0,4,1225,953,0,1476,44,130,1889,0,15,1365,434,11,0,1,7481,13305.502
A84005,1711,509,920,278,0,0,0,0,0,0,948,523,0,1115,49,121,1323,0,13,1095,131,22,0,0,5790,11867.550100000002
