practice,Other,Venlafaxine,Mirtazapine,Duloxetine,MAOi,Citalopram,Fluoxetine,Fluvoxamine,Sertraline,Escitalopram,Paroxetine,Tricyclics,Trimipramine,Dosulepin,Amitriptyline,Trazodone,Lofepramine,Maprotiline,Mianserin,total_items,total_cost
A81001,1840,456,1229,143,0,1041,471,0,1535,12,177,1470,7,67,1007,139,79,0,0,6546,19161.69614
A81002,7248,2062,3631,1492,0,4929,4761,0,7823,615,395,7375,14,342,5716,914,103,0,0,33146,78605.059539999958
A81004,2956,619,1480,831,7,1476,1865,4,3379,136,300,3252,7,65,2713,295,26,0,0,13375,50695.011710000035
A81005,2359,648,1391,307,13,2258,987,0,3078,335,185,1959,0,0,1626,179,69,0,0,11174,23972.336620000005
A81006,4941,1169,2904,863,1,2757,3829,11,7995,207,231,6428,2,150,5586,392,49,0,0,26400,63894.249669999954
A81007,4024,1116,2495,387,0,1873,3116,6,3763,64,445,3844,0,50,2022,768,79,0,0,17135,51916.58562999998
A81009,3440,821,1909,687,13,3012,1566,0,3462,73,101,3513,0,254,2739,384,13,0,0,15180,33237.845350000011
A81011,4955,1622,2720,579,0,2872,3041,0,5607,86,290,3741,28,21,2929,541,56,0,0,20592,57437.981210000027
A81012,4865,961,3243,609,12,2337,657,0,2840,87,292,4052,0,70,3210,461,205,0,0,15142,41605.000660000005
A81013,4051,966,2034,1016,13,1356,1529,0,3534,121,130,2940,0,32,2692,64,70,0,0,13674,34522.583360000033
A81014,727,281,350,96,0,1170,392,0,1031,66,202,1470,0,146,1045,180,43,0,0,5058,11732.91639
A81016,3030,579,1738,700,0,2022,1437,0,2530,688,676,2400,9,227,1775,261,66,0,0,12783,30963.6528
A81017,6315,1341,3756,1164,0,4486,4161,42,6494,396,330,7114,0,271,5802,587,57,0,0,29338,70641.759540000057
A81018,4956,814,3640,466,0,3045,1995,0,3891,376,298,4327,0,256,3296,335,82,0,0,18888,35979.619799999979
A81019,4939,1243,2952,655,0,2779,2068,24,4606,274,396,5057,0,113,3939,529,179,0,0,20143,47648.061529999984
A81020,3379,953,1717,667,14,1348,1302,14,3137,76,164,3309,0,226,2547,231,120,0,0,12743,36633.603959999971
A81021,6092,1668,3882,502,40,4286,2298,0,4989,598,653,6047,55,525,4678,466,134,0,0,25003,62328.62451999999
A81022,4298,1232,2596,434,0,3325,2653,0,5410,257,315,4406,13,231,3487,298,117,0,0,20664,57394.989929999996
A81023,3707,827,2208,638,1,1839,792,5,2358,161,378,2785,0,69,1848,627,110,0,0,12026,38280.60792
A81025,1583,284,1008,237,0,799,971,0,897,134,96,1397,0,23,1221,99,21,0,0,5877,17348.27713
A81026,5900,1019,3774,1055,6,2870,1966,25,8199,234,508,6436,11,274,5014,564,125,0,0,26144,67339.396100000056
A81027,2689,972,1386,256,5,4503,1966,5,3634,240,110,4748,0,230,3881,204,33,0,0,17900,43208.231649999994
A81029,4004,1327,2362,145,0,2356,973,0,1322,73,305,3288,0,83,2638,443,79,0,0,12321,22571.678650000005
A81030,5219,1555,2845,598,7,2188,1572,50,4748,152,358,3867,7,385,2752,316,235,0,0,18161,77497.223730000012
A81031,5129,985,3185,843,0,2706,2043,196,3950,105,265,6436,25,143,4008,1922,62,0,0,20830,89169.322109999921
A81032,4727,2004,2060,615,12,2529,1981,4,4188,327,316,4022,12,268,3131,255,75,0,0,18106,52827.285829999957
A81034,6585,1502,3723,1268,0,5711,4308,10,8483,487,206,7723,3,265,5280,1515,275,0,0,33513,83587.749759999933
A81035,3420,743,2069,545,0,2799,1438,12,3561,170,365,3631,0,159,2753,413,138,0,0,15396,45949.718039999949
A81036,6335,1708,3367,1198,0,4793,3492,0,7282,170,349,6844,0,273,5435,724,93,0,0,29265,79794.538389999885
A81037,3335,437,2495,338,0,2394,588,0,2472,34,361,2435,17,202,1885,222,50,0,0,11619,31167.190399999985
A81038,1258,161,943,148,0,519,781,0,1586,64,117,1077,0,6,969,77,2,0,0,5402,8115.7207399999988
A81039,2315,973,922,405,13,1690,1498,7,3458,301,206,2788,0,127,2177,213,51,0,0,12276,34261.545610000023
A81040,3195,839,1747,609,0,2765,2952,0,3566,201,131,2676,0,29,2400,123,41,0,0,15486,34894.461810000023
A81041,3536,683,2182,671,0,1488,1214,0,4551,241,172,2935,7,44,2338,431,14,0,0,14137,38103.859499999962
A81042,5938,1426,3984,497,16,6083,2175,20,3334,559,264,5730,12,516,4872,139,57,0,2,24119,49456.572859999957
A81043,5952,1261,3818,866,0,2491,1378,0,5362,187,458,3931,91,292,3016,212,48,0,0,19759,57070.489940000065
A81044,7104,1809,4502,770,0,5259,5289,0,7905,159,479,8296,46,589,6507,801,66,0,0,34491,65321.120369999968
A81045,5341,1099,3110,1116,0,3070,2335,13,3187,251,317,4681,0,162,3624,523,184,0,0,19195,50251.803489999977
A81046,4925,1501,2774,600,56,4349,3280,13,3308,342,299,4397,0,126,3506,401,108,0,0,20969,64813.517540000023
A81048,3069,682,1908,478,0,2366,2179,0,2927,403,222,3686,1,159,3301,69,29,0,0,14852,22726.021650000002
A81049,2883,781,1706,396,47,1573,1066,13,1613,422,668,3714,13,272,3176,211,0,0,0,11999,30312.509440000005
A81051,2407,783,1296,304,38,1559,1613,0,2838,128,301,2162,0,151,1735,157,31,0,0,11046,37804.446110000012
A81052,3681,794,2277,600,16,2927,1132,6,3867,230,292,4059,9,68,3388,288,39,0,4,16210,49595.889029999984
A81053,4044,970,2559,500,0,3615,2024,15,1970,149,832,3365,12,349,2668,181,80,0,0,16014,38101.520590000044
A81054,4237,746,2631,836,13,1957,2942,0,3349,346,343,4615,24,97,3772,390,50,0,0,17802,44432.722039999971
A81056,355,58,251,46,0,697,605,0,618,53,12,664,0,12,576,63,0,0,0,3004,5580.9412199999979
A81057,3334,594,1954,689,3,2404,2284,0,3567,66,100,4992,0,183,4107,347,111,0,0,16750,40980.15921999998
A81058,3535,784,1924,674,19,2631,1710,0,2780,124,255,4511,0,359,3310,370,69,0,0,15565,62266.332740000056
A81060,1209,157,962,89,0,750,1058,0,1251,33,33,2375,0,44,1557,678,6,0,2,6709,19127.44504
A81063,1390,219,1092,79,7,1356,923,0,1722,48,122,1946,0,50,1680,151,13,0,0,7514,13603.264989999994
A81064,2744,391,1794,545,0,2101,1261,11,2484,65,272,3053,0,83,1861,959,18,0,0,11991,29516.12806999997
A81065,2441,430,1521,465,0,1745,503,0,1719,207,159,2568,5,104,2378,34,5,0,0,9342,17679.661729999989
A81066,1800,587,832,343,12,1186,1263,0,623,242,98,1340,0,76,1112,82,21,0,0,6564,14323.921330000017
A81067,4376,898,2637,776,0,2760,2287,0,4017,92,229,4060,0,225,3403,249,50,0,0,17821,46878.14372
A81070,2001,775,1025,166,0,1413,847,0,1450,49,45,1473,0,6,1118,271,11,0,0,7278,20099.2111
A81602,475,171,177,49,0,534,607,0,1175,0,62,1160,0,12,1024,35,0,0,0,4013,12803.538690000003
A81608,1624,351,956,317,0,1673,692,25,1634,53,149,2348,0,29,2126,127,54,0,0,8198,15139.404289999993
A81610,2746,845,1373,509,3,1755,1614,0,2484,178,165,3071,0,15,2431,439,0,0,0,12016,30892.285269999986
A81611,2542,556,1599,379,0,1273,1315,0,2525,202,506,2370,5,103,1827,286,19,0,0,10733,23055.698270000019
A81612,810,386,361,60,0,607,381,0,518,0,41,872,0,0,747,96,0,0,0,3229,8242.3199299999978
A81618,4898,1142,3183,554,0,2480,1829,5,3798,1207,484,2914,1,243,2072,234,95,0,0,17615,46482.45406
A81621,1800,490,981,329,0,700,384,0,968,73,157,801,0,30,540,191,34,0,0,4883,10067.466729999996
A81622,2033,460,1281,289,0,2046,1254,0,1998,8,51,2271,0,0,1293,760,55,0,0,9661,22333.702029999979
A81629,2915,567,1609,736,0,1648,503,0,1664,133,117,1767,14,59,1273,209,58,0,0,8747,28421.733220000009
A81630,3152,95,2839,218,0,80,245,0,1013,16,84,593,0,0,312,280,0,0,0,5183,7014.0586799999992
A81631,1157,281,788,88,13,1348,839,0,1678,33,55,3138,2,13,2587,386,53,0,0,8261,24654.32554999999
A81632,4913,381,4075,457,0,92,264,0,1499,35,10,886,0,49,396,375,0,0,0,7699,8467.30575
A81633,232,8,223,1,0,36,21,0,114,3,2,168,0,0,117,47,0,0,0,576,1545.6372199999996
A81634,770,72,695,3,0,210,101,0,668,34,10,608,0,0,547,48,0,0,0,2401,3300.65135
A82003,2456,601,1554,248,0,2684,839,1,2992,86,216,2608,0,70,2100,246,47,0,0,11882,36782.236280000034
A82004,599,155,349,74,0,856,291,0,566,34,139,597,0,0,463,14,101,0,0,3082,6480.8406599999962
A82005,900,271,503,126,0,1766,505,0,1058,70,328,1401,0,52,1165,102,24,0,0,6028,27139.963079999994
A82006,1182,392,610,180,0,1082,717,0,781,32,191,1329,9,45,1075,69,13,0,0,5314,16301.64022
A82007,4598,1250,2863,427,0,2870,2643,0,3513,135,865,4144,0,71,3569,318,45,0,0,18768,55360.090619999923
A82008,4861,1262,3153,444,8,4161,2135,0,4431,249,317,4527,27,181,3975,67,16,0,0,20689,55570.91338000002
A82009,3691,833,2523,308,0,4236,2383,0,2729,59,166,3611,0,87,3083,106,35,0,0,16875,37384.548180000056
A82010,2574,756,1661,140,2,2195,1338,0,2345,85,429,2040,12,221,1435,100,63,0,0,11008,28247.86437000001
A82012,5909,1760,3707,391,12,5152,4076,11,4282,172,824,5309,0,318,4455,147,15,0,0,25747,63639.42051
A82013,2079,708,1140,222,13,2037,1143,0,754,259,570,2033,0,120,1790,37,12,0,0,8888,20038.52705
