practice,Other,Venlafaxine,Mirtazapine,Duloxetine,MAOi,Citalopram,Fluoxetine,Fluvoxamine,Sertraline,Escitalopram,Paroxetine,Tricyclics,Trimipramine,Dosulepin,Amitriptyline,Trazodone,Lofepramine,Maprotiline,Mianserin,total_items,total_cost
A82014,1099,376,625,94,5,1176,694,0,671,58,573,1313,0,22,1101,81,0,0,0,5589,11480.372909999998
A82015,3691,1037,2326,261,0,1533,1090,15,2087,70,194,1507,28,35,973,425,12,0,0,10187,29414.917660000017
A82016,15214,3214,10500,1373,24,7960,7241,5,9855,463,1223,11629,0,649,9053,1137,171,0,0,53614,154655.66415000023
A82018,3124,642,1893,503,0,1260,2366,0,4062,132,884,3422,0,267,2644,250,36,0,0,15250,45226.185479999964
A82019,3468,795,2466,200,8,2246,1633,6,2289,57,247,1886,0,18,1622,81,25,0,0,11840,28059.49448
A82020,4303,1073,2604,607,14,2881,2492,0,4304,87,620,3882,12,181,2977,393,25,0,0,18583,81212.31022000013
A82021,3797,1317,1992,473,11,4692,3529,0,3568,139,1013,4420,2,213,3686,235,121,0,0,21169,52464.994759999972
A82022,1326,445,695,119,0,1890,987,3,1531,110,301,1969,0,20,1719,124,52,0,0,8117,20351.140430000007
A82023,1897,436,1285,168,0,934,1088,0,1537,10,222,1822,0,2,1710,86,11,0,0,7510,14068.613380000004
A82024,1588,496,914,168,0,1427,541,2,1481,0,151,1786,0,12,1565,42,16,0,0,6976,17736.95692
A82025,4283,846,2985,442,6,3067,1533,10,2419,53,382,2968,3,417,1968,236,75,0,0,14721,50612.46826
A82026,4125,654,3014,406,0,4645,3224,0,2474,110,338,5960,19,132,5122,306,6,0,0,20876,60179.487970000075
A82027,2739,502,2047,165,14,3176,1734,21,2286,52,415,4225,45,324,2982,248,183,0,15,14662,50848.746219999986
A82028,1409,565,782,52,0,1321,1399,0,1586,66,247,2145,0,112,1683,165,13,0,13,8173,19417.756279999987
A82029,570,170,307,93,0,954,553,0,388,0,153,1040,0,49,899,14,14,0,0,3658,9265.671719999993
A82030,1888,601,1113,174,0,2676,790,0,997,34,144,1942,14,109,1426,145,72,0,0,8471,40022.909799999972
A82031,995,402,436,109,0,1037,474,0,843,30,34,660,0,5,583,21,23,0,0,4073,7953.0010499999962
A82032,7719,1471,5219,1029,12,3560,4381,13,4313,334,469,7112,0,135,6063,451,21,0,0,27913,75157.83841
A82033,3962,961,2610,354,0,979,1176,2,3359,323,334,2422,0,250,1979,57,2,0,0,12557,30762.270419999983
A82034,1906,499,1185,222,0,2047,792,0,1138,44,143,2424,23,179,1949,81,24,0,0,8494,39677.29566
A82035,4493,988,2741,725,7,2922,2347,0,2559,173,332,3991,15,485,2914,366,27,0,0,16824,56453.311860000016
A82036,2168,512,1220,399,0,2230,1710,6,1861,100,524,3287,0,107,2774,256,29,0,0,11886,33568.466650000017
A82037,1332,339,825,168,0,883,1444,22,832,4,249,2636,0,19,2477,67,0,0,0,7402,17164.81561
A82038,614,106,365,143,11,1139,360,0,1086,100,188,1150,0,15,1030,56,12,0,0,4648,9357.01144
A82039,1477,277,905,269,0,1888,861,0,2523,55,280,2623,0,111,2016,112,161,0,0,9707,28845.106950000023
A82041,5692,1629,3507,537,12,3107,2649,14,3620,29,474,5064,0,221,4493,249,28,0,0,20661,45076.699839999972
A82044,9782,2821,6126,791,0,8824,6217,0,5892,310,1002,10122,0,358,8391,956,129,0,0,42149,97531.620060000016
A82045,2287,559,1401,313,0,2692,1716,0,2208,72,608,3302,1,119,2964,107,21,0,0,12885,30215.710929999994
A82046,1200,479,578,143,0,1493,543,0,535,22,66,1571,13,37,1363,46,27,0,0,5430,17306.513590000006
A82047,5142,1082,3527,506,0,3594,2955,0,2388,214,719,3814,14,259,2932,398,27,0,0,18826,52945.43163
A82048,2936,824,1772,334,0,2783,786,5,1556,433,239,2555,2,97,1999,214,4,0,4,11293,28982.301179999991
A82049,2672,851,1561,178,0,1316,1272,0,1427,74,72,2932,0,1,2589,225,61,0,0,9765,28805.760479999997
A82050,4402,967,2850,511,0,2571,1765,2,2873,119,204,3224,3,260,2272,189,30,0,1,15160,38510.859700000037
A82053,1212,355,732,123,10,1860,600,0,591,71,45,1460,0,94,1198,48,47,0,0,5849,17155.273180000007
A82055,2336,775,1179,355,9,1643,1764,0,2059,49,360,2839,0,84,2384,231,17,0,0,11059,26989.591839999968
A82058,1650,474,1065,99,1,1500,645,0,900,146,165,2732,0,104,2498,50,16,0,12,7739,16591.372869999996
A82060,1701,449,1109,102,1,1637,693,0,724,22,128,1692,0,20,1549,82,10,0,0,6598,20140.29365
A82062,1956,362,1313,280,0,1106,560,0,1661,1,97,1245,0,12,1029,106,34,0,0,6626,17992.473490000015
A82064,2732,870,1725,111,0,1187,1454,0,1931,0,233,1985,0,2,1808,100,0,0,0,9522,16166.772339999985
A82065,1100,373,590,84,12,1201,408,0,854,20,39,1217,0,144,986,9,27,0,0,4851,11232.673989999998
A82068,1314,291,886,137,0,1268,603,4,719,8,249,1421,2,41,1226,48,37,0,0,5586,15337.198350000006
A82070,935,393,414,120,13,1731,576,0,678,40,145,1353,0,106,1056,32,69,0,0,5471,14485.504160000006
A82071,1788,250,1422,116,0,1471,811,0,1141,0,154,1693,12,36,1394,67,2,0,0,7058,19854.874130000015
A82072,3624,1069,2231,308,0,2897,2326,0,2850,32,821,2847,0,0,2578,101,47,0,0,15397,30213.25558
A82074,927,287,533,107,0,661,322,0,349,44,37,666,0,15,506,46,13,0,0,3006,6982.0266000000011
A82075,1873,564,1134,162,0,1535,2082,0,2328,50,301,2857,0,124,2498,146,26,0,0,11026,25368.917149999987
A82077,3228,615,1147,1307,0,2645,678,0,1231,630,180,2761,79,329,1823,0,37,0,0,11353,52003.16109
A82608,827,126,513,126,11,1183,898,0,303,6,45,1462,88,81,1144,38,13,0,0,4735,21281.916069999992
A82613,121,80,41,0,0,284,113,0,33,0,11,385,0,125,191,2,43,0,0,947,2076.0744900000004
A82617,319,90,188,41,12,913,279,0,362,116,134,696,0,143,473,0,13,0,0,2831,5784.465729999999
A82620,125,51,74,0,0,81,74,0,119,27,39,163,0,0,148,14,0,0,0,628,1434.8371900000002
A82621,294,110,118,66,0,698,183,0,128,6,54,354,0,58,227,0,5,0,0,1717,4513.6759899999988
A82623,2265,812,1275,165,5,2189,1042,0,912,46,104,1968,0,55,1726,83,25,0,0,8531,20797.536940000005
A82629,1337,203,1024,110,0,752,888,0,1942,0,68,2071,22,45,1811,53,100,0,0,7058,24377.722279999994
A82631,858,424,286,148,12,793,934,0,783,91,89,1193,0,75,822,59,2,0,0,4753,12790.970839999994
A82646,2234,486,1340,395,0,1148,876,0,1727,380,207,1992,19,154,1618,94,40,0,11,8564,27455.939229999953
A82647,453,105,312,31,0,956,500,0,283,51,111,1098,0,77,950,8,19,0,0,3452,6294.39473
A82650,817,253,355,208,0,723,410,0,308,73,70,763,0,36,587,49,33,0,0,3164,8566.4658500000041
A82651,585,122,358,103,0,664,459,0,328,29,222,741,0,0,641,41,13,0,0,3028,10011.93588000001
A82654,2951,883,1646,332,0,1665,1736,5,2123,225,291,2047,0,129,1564,158,7,0,0,11043,43104.016489999951
A83001,4644,1286,2587,575,4,3030,2352,0,5656,330,571,4559,4,87,3305,910,153,0,0,21146,48075.863180000008
A83003,4364,798,2518,902,6,1824,2125,76,5178,49,395,4155,0,106,3021,778,28,0,0,18172,42236.8809
A83004,1761,271,1387,103,0,1462,1563,14,1982,434,209,2927,0,20,2608,232,15,0,0,10352,12263.842960000004
A83005,4501,963,2525,999,44,2627,2721,0,5554,70,182,5273,0,210,3994,739,142,0,0,20972,42516.991589999991
A83006,2502,463,1501,423,18,1447,1084,0,2361,340,61,2920,0,64,2224,504,32,0,0,10733,29281.2521
A83007,5698,1427,3224,975,0,4618,3347,0,4269,538,357,8211,20,187,6742,874,176,0,0,27038,63455.103700000007
A83008,2983,660,1748,516,0,2242,1280,0,3371,60,233,4423,0,85,3920,299,26,0,0,14592,28330.933629999989
A83009,3697,849,2423,361,4,2788,2153,0,2955,67,364,4095,0,123,2853,837,160,0,0,16123,34930.80546
A83010,5692,1473,3251,936,48,2614,2443,0,5671,792,262,6431,0,222,4529,1101,103,0,0,23953,56636.498709999949
A83011,3394,1306,1739,318,21,2527,1572,2,5461,721,289,4168,0,196,2840,661,70,0,0,18155,58583.460210000085
A83012,8090,2070,4955,851,0,7114,4196,0,6502,419,596,11883,0,565,8501,2406,102,0,0,38800,99299.785779999991
A83013,4379,691,2456,1178,0,3719,2275,0,5910,63,149,5235,0,84,3664,1334,21,0,0,21730,47602.506680000035
A83014,3731,1712,1677,286,27,1762,1498,0,2285,141,190,2984,0,49,2341,531,7,0,0,12618,42882.34535999997
A83015,4880,553,2678,1551,0,1972,2279,0,3548,296,226,4602,0,39,3195,1070,36,0,0,17803,42764.814349999993
A83016,6712,1418,3756,1495,12,2949,3421,0,6677,64,637,9631,0,251,6328,2497,212,0,0,30103,76500.856449999977
A83017,2121,522,1205,377,17,2663,1136,0,2373,282,681,4241,6,107,3629,352,6,0,0,13514,37523.01772
A83018,12859,2256,6831,3038,16,7350,5548,101,11083,150,1136,15926,0,727,11597,2695,273,0,0,54169,114596.58929000005
A83019,2242,273,1438,507,0,1185,1656,12,2942,233,236,2838,0,124,2264,320,41,0,0,11344,22032.17323
A83020,5451,1160,3039,1230,0,3058,2424,0,4940,258,597,5446,20,20,3817,1275,16,0,0,22174,68136.244969999942
A83021,8407,1676,4616,2077,0,2975,4073,0,9072,163,209,10046,76,136,7010,2338,37,0,0,34945,90350.541270000016
A83022,11366,2175,7170,1938,0,5083,6138,2,10261,331,872,13278,43,50,9973,2314,120,0,0,47331,126440.85031000007
A83023,5169,1001,2965,1140,6,4001,3229,0,5744,84,410,8466,3,80,6121,1602,105,0,0,27109,67106.297339999961
A83024,3295,639,2191,459,0,1021,1470,0,3269,104,391,3748,0,16,2642,946,3,0,0,13298,31520.262380000007
A83025,6814,1053,3640,2070,0,4441,2884,0,8347,240,222,7977,18,69,5451,2187,77,0,0,30925,67920.015469999969
A83026,5038,823,3503,704,0,2543,2528,0,5457,132,361,5752,0,81,3681,1381,67,0,0,21811,47320.130180000022
A83027,2830,581,1936,233,4,1325,1059,0,3008,34,121,3858,5,0,2648,831,100,0,0,12239,32678.171639999979
A83028,5029,1155,3078,670,0,1781,2574,14,6268,318,451,5170,0,48,3533,1315,149,0,0,21605,54970.867920000019
A83029,2440,782,1182,420,0,2096,1367,0,1102,82,90,3315,0,18,2311,456,9,0,0,10492,54220.510719999977
A83030,5345,1071,3182,1082,4,3084,2515,0,5938,92,252,6350,0,185,4852,881,53,0,0,23580,53303.878769999996
A83031,3236,854,1533,658,7,2957,1579,3,2986,105,84,4594,1,194,3264,772,116,0,0,15551,43378.447960000027
A83032,1017,429,207,368,0,717,1010,0,501,56,68,634,0,14,449,168,0,0,0,4003,8275.1826900000069
A83033,4007,728,2774,469,14,1799,2566,0,3021,19,408,6219,0,63,4461,1296,194,0,0,18053,37527.683710000027
A83034,3983,478,2463,958,0,1676,1507,4,4127,105,95,4031,0,282,2315,1171,17,0,0,15528,37917.380910000044
A83035,2003,340,985,674,17,1916,1441,0,2203,76,319,2863,13,52,2199,501,20,0,0,10838,34101.419749999994
A83036,3210,1152,1612,346,2,2198,1645,0,2741,62,232,3454,0,139,2040,969,6,0,0,13544,53586.665729999884
A83037,5703,1621,3049,952,8,4581,2241,10,8717,206,432,9034,0,309,7263,868,218,0,0,30932,66128.793199999986
A83038,2214,531,1451,179,0,2047,1275,0,1620,15,108,2903,0,0,2247,494,72,0,0,10182,23872.543609999993
A83040,7184,1509,4039,1407,21,2536,2072,0,6674,370,539,7475,0,69,5301,1820,4,0,0,26871,61413.898300000008
A83041,6470,2101,3518,634,0,4934,1867,57,5065,78,740,6656,0,88,5419,669,69,0,0,25867,40200.495719999984
A83042,2004,435,1229,246,0,1570,1162,0,1539,327,252,3258,0,134,2499,471,39,0,0,10112,19663.80478
A83043,1461,328,636,472,0,411,614,0,786,26,48,1236,0,122,906,151,21,0,0,4582,10775.109200000004
A83044,3443,904,2079,391,43,2757,1795,0,3054,262,286,4617,7,222,3188,659,236,0,0,16257,45051.308940000046
A83045,8214,1655,4661,1839,0,5179,3433,10,6615,302,381,9400,53,48,6670,2097,249,0,0,33534,80851.693829999975
A83046,3942,681,1996,1263,12,2128,2877,0,3719,153,339,4063,0,48,3038,652,62,0,0,17233,42273.94817
A83047,6819,1109,4596,894,13,2556,2121,0,10088,305,320,8220,0,57,5550,2387,34,0,0,30442,59489.494770000041
A83048,2166,293,1544,316,0,1537,1094,0,2073,245,30,1621,0,68,1188,320,23,0,0,8766,18254.850769999994
A83049,7161,2676,3371,935,23,3622,2761,0,4795,52,256,6555,17,138,4932,1003,186,0,0,25225,73734.548440000028
A83050,4882,1471,2790,546,0,3946,2526,13,4364,398,453,6115,25,215,3738,1917,82,0,0,22697,74434.43112
A83051,6990,1310,4710,856,0,2255,3617,0,4608,194,265,6216,50,173,4870,728,106,0,0,24145,43532.852639999983
A83052,6738,1073,4323,1281,5,1664,2379,0,5811,77,400,6094,0,185,4260,1495,76,0,0,23168,40781.641169999988
A83054,4928,1249,2979,608,19,2417,4073,13,6627,156,147,8996,22,102,7135,1195,187,0,0,27376,72440.674489999976
A83055,1347,343,931,69,0,944,742,0,1058,35,149,1925,0,13,1427,308,9,0,0,6200,16166.686479999986
A83057,4401,988,2954,338,0,2028,3416,0,3020,97,196,5560,13,14,4324,1059,61,0,0,18718,46330.926270000018
A83060,1105,108,617,191,0,342,540,0,639,8,236,1181,0,10,817,290,0,0,0,4051,11180.820380000005
A83061,963,120,579,251,0,970,321,0,799,95,82,1198,0,0,866,312,0,0,0,4428,10317.4946
A83066,4940,1072,2612,1230,0,2864,2933,0,6153,200,304,10322,0,102,7244,2789,57,0,0,27716,56353.084579999915
A83070,1977,569,1019,389,0,2325,630,0,2326,182,133,2292,0,40,1442,622,6,0,0,9865,29470.842320000007
A83071,2587,754,1462,116,0,1642,802,0,2414,66,277,2262,0,9,1936,149,109,0,0,10050,18884.70321
A83072,835,196,554,85,0,774,620,0,1690,15,195,1813,0,2,1319,432,14,0,0,5942,13274.331219999996
A83073,1714,495,869,294,0,1160,1647,0,2756,51,77,4424,0,0,3089,1122,72,0,2,11829,36914.915660000006
A83074,5494,892,3482,1099,54,2281,2978,13,6111,109,163,6067,0,58,5273,588,32,0,0,23270,50353.919659999978
A83075,3135,653,2014,328,0,2097,1687,0,2136,75,390,4130,4,43,3272,653,66,0,0,13650,21648.850190000005
A83076,1748,493,967,223,0,1318,942,0,1243,56,71,2844,0,53,2067,618,45,0,0,8222,16038.615780000016
A83603,1428,267,916,189,0,551,815,0,1499,0,25,1377,0,16,918,385,6,0,0,5695,11159.512759999994
A83610,1470,365,905,138,0,756,987,12,1302,67,80,2299,0,25,1617,440,90,0,0,6973,17104.637419999992
A83616,1287,215,1051,9,0,397,1348,0,1376,73,59,1080,0,31,815,197,24,0,0,5620,9025.56306
A83617,981,220,677,84,0,1023,764,12,1038,47,191,1441,0,52,1075,233,24,0,0,5497,13418.460360000021
A83618,1964,318,1193,437,0,1848,1102,0,1374,41,46,2904,0,165,2207,298,44,0,0,9279,19136.016390000008
A83619,1783,309,1153,315,0,1360,1461,0,1790,130,59,1618,0,0,1363,212,9,0,0,8201,13517.725710000002
A83622,421,126,201,94,13,575,640,0,468,18,36,1343,9,0,1077,171,27,0,0,3514,10061.414299999997
A83626,849,160,481,208,0,509,307,0,1257,13,0,861,0,0,540,321,0,0,0,3796,8267.46959
A83627,4064,807,2548,605,0,2634,1665,0,2753,314,77,3074,0,0,2609,297,117,0,0,14581,24946.915680000002
A83630,445,157,225,63,0,598,478,0,1003,0,126,802,0,0,632,140,0,0,0,3452,9526.9290100000053
A83632,679,159,382,126,0,205,201,15,772,12,47,1172,0,16,997,140,0,0,0,3103,6870.7148300000008
A83634,2435,446,1680,265,0,1388,591,0,1560,1,43,2580,13,40,2082,240,89,0,0,8598,16496.32214
A83635,1865,786,755,323,0,881,1206,6,1590,37,57,2868,0,12,2273,398,10,0,0,8510,33085.632680000024
A83636,2303,494,1537,194,0,2716,1466,0,3489,14,349,5132,0,54,4315,601,40,0,0,15469,28244.031749999966
A83637,1706,647,935,106,0,405,658,0,1416,19,37,1911,0,11,1112,728,30,0,0,6152,16265.193500000007
A83641,2799,369,1927,433,0,1347,1171,0,2512,4,143,1933,0,98,1343,409,55,0,0,9909,16174.077770000016
A83644,2303,759,1062,473,0,843,880,0,1133,1,27,1827,0,12,1334,326,45,0,0,7014,18100.519250000016
A84002,872,290,485,94,26,933,701,0,1124,17,184,2064,0,74,1501,377,33,0,0,5921,22166.224019999987
A84003,6150,2205,2986,905,11,4704,3237,0,4378,49,727,7445,0,531,4986,1614,103,0,4,26701,64491.468250000005
A84005,5549,1704,2841,981,13,3711,2077,0,3753,81,426,5737,0,380,4412,514,98,0,0,21347,61127.530579999984
A84006,4459,1990,1745,663,27,5087,2350,0,4645,191,725,6312,0,533,4886,514,87,0,7,23796,53189.41265
A84007,2677,495,1776,365,0,3231,1483,0,2908,332,461,3559,31,303,2650,265,110,0,0,14651,38272.966099999947
A84008,1179,428,528,209,16,2150,670,11,1468,38,228,1934,0,67,1398,400,0,0,0,7694,16565.476160000009
A84009,9031,1743,5678,1570,15,7119,5977,0,7208,17,447,12405,1,424,9352,1809,269,0,0,42219,117399.55410999997
A84011,1920,509,942,216,0,2588,1155,0,2348,95,231,2642,0,149,1793,301,195,0,43,10979,23441.14029
A84013,1598,577,712,294,23,1702,1210,11,2367,14,176,2534,0,73,2115,236,33,0,0,9635,25553.261000000002
A84014,3380,724,2128,478,12,3234,1758,7,2628,14,302,3996,0,212,2886,593,182,0,0,15331,69401.216549999968
A84015,3120,694,2180,220,0,689,725,0,642,0,37,3954,0,158,3006,446,0,0,0,9167,19333.40014999999
A84016,1198,402,658,114,0,1494,861,4,1946,38,191,2002,0,77,1513,199,11,0,0,7734,21956.732409999979
A84018,2715,670,1717,322,1,2694,887,0,1954,184,229,2158,0,175,1638,120,123,0,0,10822,21541.708960000018
